geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:0002253,activation of immune response,http://amigo.geneontology.org/amigo/term/GO:0002253,526,30,8.137016575,3.68685497,7.22E-10,5.94E-07,640;717;735;1445;1493;1997;2212;2672;2885;3075;3117;3119;3120;3122;3123;3654;3684;3984;5788;7128;7187;8013;9258;9402;9641;10318;64135;79155;121665;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000230726;ENSG00000166278;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136573;ENSG00000157837;ENSG00000168884;ENSG00000228987;ENSG00000224305;ENSG00000113600;ENSG00000147324;ENSG00000184216;ENSG00000228254;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000163599;ENSG00000227993;ENSG00000106683;ENSG00000103653;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000285022;ENSG00000115267;ENSG00000206308;ENSG00000228284;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000143226;ENSG00000232062;ENSG00000081237;ENSG00000231543;ENSG00000225890;ENSG00000119508;ENSG00000263528;ENSG00000100351;ENSG00000000971;ENSG00000196735;ENSG00000234794;ENSG00000120690
GO:0045087,innate immune response,http://amigo.geneontology.org/amigo/term/GO:0045087,813,38,12.57679558,3.021437357,9.86E-10,7.44E-07,639;717;735;818;958;1130;1813;2672;3075;3117;3119;3120;3122;3123;3451;3654;3663;3684;3717;4261;4688;5468;5469;5781;6367;7128;7187;7297;8807;9258;9641;10318;10906;59067;64135;79155;114836;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000162739;ENSG00000143669;ENSG00000230726;ENSG00000166278;ENSG00000234829;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000168884;ENSG00000135148;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000057657;ENSG00000113600;ENSG00000147324;ENSG00000184216;ENSG00000179583;ENSG00000228254;ENSG00000096968;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000227993;ENSG00000101017;ENSG00000138684;ENSG00000148660;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000285022;ENSG00000115267;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000105397;ENSG00000128604;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000232062;ENSG00000149295;ENSG00000132170;ENSG00000231543;ENSG00000225890;ENSG00000263528;ENSG00000000971;ENSG00000116701;ENSG00000102962;ENSG00000196735;ENSG00000234794
GO:0002757,immune response-activating signal transduction,http://amigo.geneontology.org/amigo/term/GO:0002757,449,27,6.945856354,3.887209672,1.75E-09,1.22E-06,640;1445;1493;1997;2212;2672;2885;3117;3119;3120;3122;3123;3654;3684;3984;5788;7128;7187;8013;9258;9402;9641;10318;64135;79155;121665;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136573;ENSG00000157837;ENSG00000168884;ENSG00000228987;ENSG00000224305;ENSG00000147324;ENSG00000184216;ENSG00000228254;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000163599;ENSG00000227993;ENSG00000106683;ENSG00000103653;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000285022;ENSG00000115267;ENSG00000206308;ENSG00000228284;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000143226;ENSG00000232062;ENSG00000081237;ENSG00000225890;ENSG00000119508;ENSG00000263528;ENSG00000100351;ENSG00000196735;ENSG00000234794;ENSG00000120690
GO:0009967,positive regulation of signal transduction,http://amigo.geneontology.org/amigo/term/GO:0009967,1546,55,23.9160221,2.299713546,2.96E-09,1.91E-06,356;941;942;958;1445;1601;1813;1815;2044;2064;2672;2690;2885;3092;3558;3575;3654;3717;3815;4249;4853;4855;5469;5781;5788;6343;6367;6774;7015;7128;8516;8626;8844;8935;9258;9402;9518;9641;9770;23274;27255;28514;28996;29851;29949;55024;57216;59067;79155;116449;121665;157285;200734;219790;222663,ENSG00000141736;ENSG00000157404;ENSG00000162676;ENSG00000177885;ENSG00000127946;ENSG00000157837;ENSG00000182010;ENSG00000168884;ENSG00000125686;ENSG00000168610;ENSG00000147324;ENSG00000141068;ENSG00000184216;ENSG00000073282;ENSG00000198369;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000142224;ENSG00000101017;ENSG00000130513;ENSG00000153071;ENSG00000121594;ENSG00000138684;ENSG00000275342;ENSG00000103653;ENSG00000145242;ENSG00000162738;ENSG00000146197;ENSG00000118503;ENSG00000168685;ENSG00000077943;ENSG00000109684;ENSG00000285022;ENSG00000101265;ENSG00000064393;ENSG00000038532;ENSG00000152127;ENSG00000153064;ENSG00000164362;ENSG00000179295;ENSG00000114013;ENSG00000149295;ENSG00000081237;ENSG00000276825;ENSG00000070031;ENSG00000163600;ENSG00000263528;ENSG00000100351;ENSG00000005020;ENSG00000102962;ENSG00000204301;ENSG00000134115;ENSG00000134250;ENSG00000198719;ENSG00000112964
GO:0030098,lymphocyte differentiation,http://amigo.geneontology.org/amigo/term/GO:0030098,335,22,5.182320442,4.245202559,1.26E-08,7.59E-06,639;941;942;1493;2064;3451;3558;3559;3575;3586;3815;4853;5788;6774;6932;7292;9474;10320;22806;28514;51176;114836,ENSG00000141736;ENSG00000162739;ENSG00000185811;ENSG00000234829;ENSG00000157404;ENSG00000168610;ENSG00000057657;ENSG00000109471;ENSG00000163599;ENSG00000117586;ENSG00000121594;ENSG00000136634;ENSG00000168685;ENSG00000134460;ENSG00000057663;ENSG00000114013;ENSG00000081237;ENSG00000081059;ENSG00000161405;ENSG00000138795;ENSG00000134250;ENSG00000198719
GO:0010647,positive regulation of cell communication,http://amigo.geneontology.org/amigo/term/GO:0010647,1706,57,26.39116022,2.159814101,1.39E-08,7.85E-06,356;640;941;942;958;1445;1601;1813;1815;2044;2064;2672;2690;2885;3092;3558;3575;3654;3717;3815;4249;4853;4855;5469;5781;5788;6343;6367;6774;6857;7015;7128;8516;8626;8844;8935;9258;9402;9518;9641;9770;23274;27255;28514;28996;29851;29949;55024;57216;59067;79155;116449;121665;157285;200734;219790;222663,ENSG00000141736;ENSG00000157404;ENSG00000162676;ENSG00000177885;ENSG00000127946;ENSG00000136573;ENSG00000157837;ENSG00000182010;ENSG00000168884;ENSG00000125686;ENSG00000168610;ENSG00000147324;ENSG00000141068;ENSG00000184216;ENSG00000073282;ENSG00000198369;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000142224;ENSG00000101017;ENSG00000130513;ENSG00000153071;ENSG00000121594;ENSG00000138684;ENSG00000275342;ENSG00000103653;ENSG00000145242;ENSG00000162738;ENSG00000146197;ENSG00000118503;ENSG00000168685;ENSG00000077943;ENSG00000109684;ENSG00000285022;ENSG00000101265;ENSG00000064393;ENSG00000038532;ENSG00000152127;ENSG00000153064;ENSG00000164362;ENSG00000179295;ENSG00000114013;ENSG00000149295;ENSG00000081237;ENSG00000276825;ENSG00000070031;ENSG00000163600;ENSG00000263528;ENSG00000100351;ENSG00000005020;ENSG00000102962;ENSG00000204301;ENSG00000134115;ENSG00000134250;ENSG00000198719;ENSG00000112964;ENSG00000067715
GO:0023056,positive regulation of signaling,http://amigo.geneontology.org/amigo/term/GO:0023056,1712,57,26.4839779,2.15224466,1.57E-08,7.95E-06,356;640;941;942;958;1445;1601;1813;1815;2044;2064;2672;2690;2885;3092;3558;3575;3654;3717;3815;4249;4853;4855;5469;5781;5788;6343;6367;6774;6857;7015;7128;8516;8626;8844;8935;9258;9402;9518;9641;9770;23274;27255;28514;28996;29851;29949;55024;57216;59067;79155;116449;121665;157285;200734;219790;222663,ENSG00000141736;ENSG00000157404;ENSG00000162676;ENSG00000177885;ENSG00000127946;ENSG00000136573;ENSG00000157837;ENSG00000182010;ENSG00000168884;ENSG00000125686;ENSG00000168610;ENSG00000147324;ENSG00000141068;ENSG00000184216;ENSG00000073282;ENSG00000198369;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000142224;ENSG00000101017;ENSG00000130513;ENSG00000153071;ENSG00000121594;ENSG00000138684;ENSG00000275342;ENSG00000103653;ENSG00000145242;ENSG00000162738;ENSG00000146197;ENSG00000118503;ENSG00000168685;ENSG00000077943;ENSG00000109684;ENSG00000285022;ENSG00000101265;ENSG00000064393;ENSG00000038532;ENSG00000152127;ENSG00000153064;ENSG00000164362;ENSG00000179295;ENSG00000114013;ENSG00000149295;ENSG00000081237;ENSG00000276825;ENSG00000070031;ENSG00000163600;ENSG00000263528;ENSG00000100351;ENSG00000005020;ENSG00000102962;ENSG00000204301;ENSG00000134115;ENSG00000134250;ENSG00000198719;ENSG00000112964;ENSG00000067715
GO:0042113,B cell activation,http://amigo.geneontology.org/amigo/term/GO:0042113,227,18,3.51160221,5.125865324,1.58E-08,7.95E-06,958;1493;3451;3558;3575;3586;3815;4853;5788;7128;7292;8935;22806;28514;51176;55024;59067;79155,ENSG00000234829;ENSG00000157404;ENSG00000168884;ENSG00000109471;ENSG00000163599;ENSG00000117586;ENSG00000101017;ENSG00000138684;ENSG00000136634;ENSG00000118503;ENSG00000168685;ENSG00000153064;ENSG00000081237;ENSG00000161405;ENSG00000138795;ENSG00000005020;ENSG00000134250;ENSG00000198719
GO:0002520,immune system development,http://amigo.geneontology.org/amigo/term/GO:0002520,866,37,13.39668508,2.761877268,1.85E-08,8.39E-06,639;941;942;958;1493;2064;2113;2672;3451;3558;3559;3575;3586;3717;3815;4853;4855;5468;5469;5781;5788;6774;6932;7128;7292;8013;9258;9474;9770;10320;22806;28514;28996;29851;51176;114836;219790,ENSG00000141736;ENSG00000162739;ENSG00000185811;ENSG00000234829;ENSG00000157404;ENSG00000162676;ENSG00000182010;ENSG00000125686;ENSG00000168610;ENSG00000057657;ENSG00000147324;ENSG00000096968;ENSG00000109471;ENSG00000163599;ENSG00000117586;ENSG00000101017;ENSG00000121594;ENSG00000136634;ENSG00000118503;ENSG00000168685;ENSG00000285022;ENSG00000101265;ENSG00000064393;ENSG00000134460;ENSG00000179295;ENSG00000057663;ENSG00000114013;ENSG00000081237;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000163600;ENSG00000119508;ENSG00000138795;ENSG00000204301;ENSG00000134250;ENSG00000198719;ENSG00000134954
GO:0006952,defense response,http://amigo.geneontology.org/amigo/term/GO:0006952,1494,52,23.11160221,2.24995219,1.85E-08,8.39E-06,639;717;735;818;958;1130;1813;1815;2113;2672;3075;3117;3119;3120;3122;3123;3451;3558;3559;3586;3609;3654;3663;3684;3717;3815;4261;4688;5468;5469;5781;5788;6367;6774;7128;7187;7292;7297;8807;9258;9641;10318;10906;27159;51715;54899;57118;59067;64135;79155;114836;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000162739;ENSG00000143669;ENSG00000230726;ENSG00000166278;ENSG00000234829;ENSG00000129351;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000168884;ENSG00000135148;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000168610;ENSG00000057657;ENSG00000113600;ENSG00000147324;ENSG00000184216;ENSG00000179583;ENSG00000228254;ENSG00000096968;ENSG00000109471;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000112210;ENSG00000138684;ENSG00000136634;ENSG00000148660;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000285022;ENSG00000168297;ENSG00000134460;ENSG00000115267;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000105397;ENSG00000128604;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000134216;ENSG00000183049;ENSG00000232062;ENSG00000149295;ENSG00000081237;ENSG00000276825;ENSG00000132170;ENSG00000231543;ENSG00000225890;ENSG00000263528;ENSG00000000971;ENSG00000116701;ENSG00000102962;ENSG00000196735;ENSG00000234794;ENSG00000134954
