geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:1901474,azole transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:1901474,8,3,0.110449776,27.16166667,1.38E-04,0.014215898,60386;80736;121260,ENSG00000125454;ENSG00000228263;ENSG00000139370;ENSG00000204385
GO:0019902,phosphatase binding,http://amigo.geneontology.org/amigo/term/GO:0019902,174,10,2.402282629,4.162707535,1.55E-04,0.015070276,1027;1445;2064;2885;5468;6774;7187;9258;9641;9887,ENSG00000141736;ENSG00000116698;ENSG00000177885;ENSG00000168610;ENSG00000147324;ENSG00000103653;ENSG00000285022;ENSG00000131323;ENSG00000111276;ENSG00000132170;ENSG00000263528
GO:0042605,peptide antigen binding,http://amigo.geneontology.org/amigo/term/GO:0042605,22,4,0.303736884,13.16929293,2.13E-04,0.018893395,3117;3119;3122;3123,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000227993;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
GO:0035258,steroid hormone receptor binding,http://amigo.geneontology.org/amigo/term/GO:0035258,88,7,1.214947536,5.761565657,2.14E-04,0.018893395,190;5468;5469;6774;8013;23081;51176,ENSG00000125686;ENSG00000168610;ENSG00000169297;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000107077
GO:0035257,nuclear hormone receptor binding,http://amigo.geneontology.org/amigo/term/GO:0035257,149,9,2.057127079,4.375033557,2.28E-04,0.019159405,190;3727;5468;5469;6774;8013;10499;23081;51176,ENSG00000125686;ENSG00000168610;ENSG00000169297;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000107077;ENSG00000130522
GO:0003690,double-stranded DNA binding,http://amigo.geneontology.org/amigo/term/GO:0003690,890,26,12.28753758,2.115965044,2.50E-04,0.02016445,639;1820;1997;2113;3727;4299;4439;4520;5017;5468;5469;5890;6774;6932;8013;8538;8626;10499;11278;22806;51176;51513;60468;64754;84159;170463,ENSG00000116017;ENSG00000125686;ENSG00000168610;ENSG00000235222;ENSG00000057657;ENSG00000010030;ENSG00000073282;ENSG00000237333;ENSG00000182185;ENSG00000230293;ENSG00000233345;ENSG00000235569;ENSG00000112182;ENSG00000172818;ENSG00000230961;ENSG00000043039;ENSG00000185420;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000204410;ENSG00000119508;ENSG00000227314;ENSG00000138795;ENSG00000140396;ENSG00000130522;ENSG00000118922;ENSG00000172493;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0003700,DNA-binding transcription factor activity,http://amigo.geneontology.org/amigo/term/GO:0003700,1645,40,22.7112352,1.761242823,2.74E-04,0.020687356,190;473;639;1389;1820;1997;2113;2672;3663;3727;4299;4520;5017;5468;6774;6775;6932;7629;8013;8538;8626;9569;10320;10499;10745;11278;22806;22807;23030;23081;51176;51513;55892;59269;60468;84159;90874;146198;170463;221895,ENSG00000138378;ENSG00000185811;ENSG00000162676;ENSG00000127124;ENSG00000116017;ENSG00000168610;ENSG00000169297;ENSG00000065029;ENSG00000142599;ENSG00000057657;ENSG00000010030;ENSG00000143067;ENSG00000073282;ENSG00000030419;ENSG00000127663;ENSG00000111269;ENSG00000184939;ENSG00000153814;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000128604;ENSG00000006704;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000085274;ENSG00000107077;ENSG00000130522;ENSG00000118922;ENSG00000116793;ENSG00000172493;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0019900,kinase binding,http://amigo.geneontology.org/amigo/term/GO:0019900,699,22,9.650549181,2.279663011,2.79E-04,0.020687356,1027;1445;1609;2690;2885;3595;3717;5781;5788;6774;7128;7187;8013;8844;10318;25780;27159;51199;51755;55024;79155;200734,ENSG00000145901;ENSG00000177885;ENSG00000168884;ENSG00000168610;ENSG00000141068;ENSG00000198369;ENSG00000096968;ENSG00000081985;ENSG00000103653;ENSG00000118503;ENSG00000152689;ENSG00000167258;ENSG00000100503;ENSG00000153064;ENSG00000131323;ENSG00000111276;ENSG00000179295;ENSG00000145214;ENSG00000134216;ENSG00000081237;ENSG00000119508;ENSG00000112964
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",http://amigo.geneontology.org/amigo/term/GO:0001227,264,12,3.644842609,3.292323232,3.14E-04,0.02160623,639;2672;5017;5468;6932;11278;23030;23081;51513;60468;84159;146198,ENSG00000162676;ENSG00000057657;ENSG00000010030;ENSG00000127663;ENSG00000184939;ENSG00000112182;ENSG00000172818;ENSG00000150347;ENSG00000081059;ENSG00000132170;ENSG00000107077;ENSG00000118922
GO:0000977,RNA polymerase II regulatory region sequence-specific DNA binding,http://amigo.geneontology.org/amigo/term/GO:0000977,706,22,9.747192735,2.25706012,3.20E-04,0.02160623,639;1820;1997;2113;3727;4520;5017;5468;5469;6774;6932;8013;8538;10499;11278;22806;51176;51513;60468;64754;84159;170463,ENSG00000116017;ENSG00000125686;ENSG00000168610;ENSG00000057657;ENSG00000010030;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000185420;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000130522;ENSG00000118922;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",http://amigo.geneontology.org/amigo/term/GO:0000981,1547,38,21.35822544,1.779174029,3.27E-04,0.02160623,190;473;639;1389;1820;1997;2113;2672;3663;3727;4520;5017;5468;6774;6775;6932;7629;8013;8538;8626;9569;10320;10499;11278;22806;22807;23030;23081;51176;51513;55892;59269;60468;84159;90874;146198;170463;221895,ENSG00000138378;ENSG00000185811;ENSG00000162676;ENSG00000127124;ENSG00000116017;ENSG00000168610;ENSG00000169297;ENSG00000065029;ENSG00000142599;ENSG00000057657;ENSG00000010030;ENSG00000143067;ENSG00000073282;ENSG00000030419;ENSG00000127663;ENSG00000111269;ENSG00000184939;ENSG00000153814;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000128604;ENSG00000006704;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000085274;ENSG00000107077;ENSG00000130522;ENSG00000118922;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0043565,sequence-specific DNA binding,http://amigo.geneontology.org/amigo/term/GO:0043565,1064,29,14.68982021,1.974156224,3.47E-04,0.022185671,190;473;639;1820;1997;2113;3663;3727;4520;5017;5468;5469;6774;6932;7015;7629;8013;8538;8626;9887;10499;11278;22806;51176;51513;60468;64754;84159;170463,ENSG00000116698;ENSG00000116017;ENSG00000125686;ENSG00000168610;ENSG00000169297;ENSG00000065029;ENSG00000142599;ENSG00000057657;ENSG00000010030;ENSG00000073282;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000128604;ENSG00000164362;ENSG00000185420;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000130522;ENSG00000118922;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0001012,RNA polymerase II regulatory region DNA binding,http://amigo.geneontology.org/amigo/term/GO:0001012,712,22,9.830030067,2.23803995,3.60E-04,0.022201528,639;1820;1997;2113;3727;4520;5017;5468;5469;6774;6932;8013;8538;10499;11278;22806;51176;51513;60468;64754;84159;170463,ENSG00000116017;ENSG00000125686;ENSG00000168610;ENSG00000057657;ENSG00000010030;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000185420;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000130522;ENSG00000118922;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0043560,insulin receptor substrate binding,http://amigo.geneontology.org/amigo/term/GO:0043560,11,3,0.151868442,19.75393939,3.95E-04,0.023585821,2885;3717;5781,ENSG00000177885;ENSG00000096968;ENSG00000179295
GO:0140110,transcription regulator activity,http://amigo.geneontology.org/amigo/term/GO:0140110,1966,45,27.14303246,1.657884028,4.13E-04,0.023916765,190;473;639;1389;1820;1997;2113;2672;3663;3727;4261;4299;4520;5017;5468;5469;6774;6775;6932;7332;7629;8013;8538;8626;9569;10320;10499;10745;10847;11278;22806;22807;23030;23081;28996;51176;51513;55892;59269;60468;84159;90874;146198;170463;221895,ENSG00000138378;ENSG00000185811;ENSG00000185651;ENSG00000162676;ENSG00000127124;ENSG00000116017;ENSG00000125686;ENSG00000168610;ENSG00000169297;ENSG00000065029;ENSG00000142599;ENSG00000057657;ENSG00000010030;ENSG00000143067;ENSG00000179583;ENSG00000073282;ENSG00000030419;ENSG00000127663;ENSG00000111269;ENSG00000184939;ENSG00000153814;ENSG00000064393;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000128604;ENSG00000006704;ENSG00000150347;ENSG00000080603;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000085274;ENSG00000107077;ENSG00000130522;ENSG00000118922;ENSG00000116793;ENSG00000172493;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0035591,signaling adaptor activity,http://amigo.geneontology.org/amigo/term/GO:0035591,76,6,1.049272872,5.718245614,6.33E-04,0.035532643,2885;5781;8844;8935;9402;116449,ENSG00000177885;ENSG00000141068;ENSG00000109684;ENSG00000179295;ENSG00000100351;ENSG00000005020
GO:0005524,ATP binding,http://amigo.geneontology.org/amigo/term/GO:0005524,1436,35,19.8257348,1.765382235,6.66E-04,0.036288716,640;818;1445;1609;1615;1656;2044;2064;3654;3717;3815;3984;4261;4439;5129;5592;5634;5890;7297;7332;8844;8997;9641;10847;11044;23057;28996;51755;54899;55191;57118;64135;64895;157285;388228,ENSG00000141736;ENSG00000117266;ENSG00000157404;ENSG00000185651;ENSG00000115866;ENSG00000136573;ENSG00000235222;ENSG00000141068;ENSG00000184216;ENSG00000179583;ENSG00000096968;ENSG00000112941;ENSG00000237333;ENSG00000182185;ENSG00000106683;ENSG00000230293;ENSG00000233345;ENSG00000148660;ENSG00000275342;ENSG00000103653;ENSG00000115421;ENSG00000235569;ENSG00000145242;ENSG00000167258;ENSG00000160145;ENSG00000064393;ENSG00000168297;ENSG00000172890;ENSG00000115267;ENSG00000230961;ENSG00000105397;ENSG00000110367;ENSG00000101911;ENSG00000145214;ENSG00000183049;ENSG00000080603;ENSG00000185532;ENSG00000204410;ENSG00000263528;ENSG00000227314;ENSG00000188322;ENSG00000157064
GO:0005070,SH3/SH2 adaptor activity,http://amigo.geneontology.org/amigo/term/GO:0005070,52,5,0.717923544,6.964529915,7.35E-04,0.038914353,2885;5781;8935;9402;116449,ENSG00000177885;ENSG00000109684;ENSG00000179295;ENSG00000100351;ENSG00000005020
GO:0060089,molecular transducer activity,http://amigo.geneontology.org/amigo/term/GO:0060089,1451,35,20.03282813,1.747132246,8.02E-04,0.040826684,190;941;942;949;958;1027;1813;1815;2044;2064;2690;2842;3117;3119;3120;3122;3559;3575;3595;3815;4853;4855;5129;5468;5469;5592;5788;8013;8807;9103;23534;27201;51176;51755;57537,ENSG00000141736;ENSG00000196610;ENSG00000206305;ENSG00000117266;ENSG00000230726;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000169297;ENSG00000064419;ENSG00000184985;ENSG00000228254;ENSG00000226165;ENSG00000229493;ENSG00000227993;ENSG00000101017;ENSG00000155269;ENSG00000121594;ENSG00000081985;ENSG00000228813;ENSG00000145242;ENSG00000168685;ENSG00000167258;ENSG00000134460;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000111276;ENSG00000073060;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000143226;ENSG00000114013;ENSG00000232062;ENSG00000149295;ENSG00000081237;ENSG00000276825;ENSG00000185532;ENSG00000132170;ENSG00000225890;ENSG00000119508;ENSG00000138795;ENSG00000196735;ENSG00000204301;ENSG00000134250;ENSG00000234794;ENSG00000112964;ENSG00000183150
GO:0000976,transcription regulatory region sequence-specific DNA binding,http://amigo.geneontology.org/amigo/term/GO:0000976,757,22,10.45131006,2.104999266,8.16E-04,0.040826684,639;1820;1997;2113;3727;4520;5017;5468;5469;6774;6932;8013;8538;10499;11278;22806;51176;51513;60468;64754;84159;170463,ENSG00000116017;ENSG00000125686;ENSG00000168610;ENSG00000057657;ENSG00000010030;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000185420;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000130522;ENSG00000118922;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0008144,drug binding,http://amigo.geneontology.org/amigo/term/GO:0008144,1687,39,23.29109652,1.674459593,8.87E-04,0.042608006,640;818;1445;1609;1615;1656;1813;1815;2044;2064;3654;3717;3815;3984;4261;4439;5129;5468;5592;5634;5890;7297;7332;8844;8997;9641;10847;11044;23057;27159;28996;51755;54899;55191;57118;64135;64895;157285;388228,ENSG00000141736;ENSG00000117266;ENSG00000157404;ENSG00000185651;ENSG00000115866;ENSG00000136573;ENSG00000235222;ENSG00000141068;ENSG00000184216;ENSG00000179583;ENSG00000096968;ENSG00000112941;ENSG00000237333;ENSG00000182185;ENSG00000106683;ENSG00000230293;ENSG00000233345;ENSG00000148660;ENSG00000275342;ENSG00000103653;ENSG00000115421;ENSG00000235569;ENSG00000145242;ENSG00000167258;ENSG00000160145;ENSG00000064393;ENSG00000168297;ENSG00000172890;ENSG00000115267;ENSG00000230961;ENSG00000105397;ENSG00000110367;ENSG00000101911;ENSG00000145214;ENSG00000134216;ENSG00000183049;ENSG00000149295;ENSG00000080603;ENSG00000276825;ENSG00000185532;ENSG00000132170;ENSG00000204410;ENSG00000263528;ENSG00000227314;ENSG00000188322;ENSG00000157064
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",http://amigo.geneontology.org/amigo/term/GO:0001228,427,15,5.895256796,2.544418423,8.97E-04,0.042608006,1820;1997;2113;3663;3727;4520;5017;6774;7629;8013;8538;8626;22806;51176;170463,ENSG00000116017;ENSG00000168610;ENSG00000065029;ENSG00000073282;ENSG00000172818;ENSG00000043039;ENSG00000128604;ENSG00000130511;ENSG00000161405;ENSG00000119508;ENSG00000138795;ENSG00000130522;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0035639,purine ribonucleoside triphosphate binding,http://amigo.geneontology.org/amigo/term/GO:0035639,1760,40,24.29895073,1.646161616,0.001048418,0.048541754,640;818;1445;1609;1615;1656;2044;2064;3654;3717;3815;3984;4261;4439;5129;5592;5634;5890;7297;7332;8844;8997;9258;9641;10847;11044;23057;28996;51199;51715;51755;54899;55191;57118;64135;64895;80117;92170;157285;388228,ENSG00000141736;ENSG00000117266;ENSG00000157404;ENSG00000185651;ENSG00000179674;ENSG00000115866;ENSG00000136573;ENSG00000235222;ENSG00000147324;ENSG00000141068;ENSG00000184216;ENSG00000179583;ENSG00000096968;ENSG00000112941;ENSG00000237333;ENSG00000182185;ENSG00000112210;ENSG00000106683;ENSG00000230293;ENSG00000233345;ENSG00000148660;ENSG00000275342;ENSG00000103653;ENSG00000115421;ENSG00000235569;ENSG00000145242;ENSG00000167258;ENSG00000160145;ENSG00000285022;ENSG00000064393;ENSG00000168297;ENSG00000100503;ENSG00000172890;ENSG00000115267;ENSG00000230961;ENSG00000105397;ENSG00000110367;ENSG00000101911;ENSG00000145214;ENSG00000183049;ENSG00000080603;ENSG00000185532;ENSG00000204410;ENSG00000263528;ENSG00000227314;ENSG00000188322;ENSG00000157064;ENSG00000148824
