geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
hsa05332,Graft-versus-host disease,http://www.kegg.jp/kegg-bin/show_pathway?hsa05332+3117+3119+3122+3123+3558+356+941+942,40,8,0.71942446,11.12,4.18E-07,1.23E-05,3117;3119;3122;3123;3558;356;941;942,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000109471;ENSG00000117560;ENSG00000227993;ENSG00000121594;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000114013;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05145,Toxoplasmosis,http://www.kegg.jp/kegg-bin/show_pathway?hsa05145+3117+3119+3122+3123+3586+3654+3717+3918+4261+6774+7297+958,109,12,1.960431655,6.121100917,4.90E-07,1.32E-05,3117;3119;3122;3123;3586;3654;3717;3918;4261;6774;7297;958,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000168610;ENSG00000184216;ENSG00000179583;ENSG00000096968;ENSG00000058085;ENSG00000227993;ENSG00000101017;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000105397;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05200,Pathways in cancer,http://www.kegg.jp/kegg-bin/show_pathway?hsa05200+1027+2064+2113+25780+28514+2885+29119+3451+3558+3559+356+3575+3595+3717+3815+3918+4853+4855+51176+5468+6774+6775+6932+7015+7187+818,516,26,9.28057554,2.801550388,1.16E-06,2.89E-05,1027;2064;2113;25780;28514;2885;29119;3451;3558;3559;356;3575;3595;3717;3815;3918;4853;4855;51176;5468;6774;6775;6932;7015;7187;818,ENSG00000141736;ENSG00000138378;ENSG00000234829;ENSG00000157404;ENSG00000177885;ENSG00000168610;ENSG00000183230;ENSG00000096968;ENSG00000109471;ENSG00000058085;ENSG00000117560;ENSG00000081985;ENSG00000148660;ENSG00000168685;ENSG00000152689;ENSG00000134460;ENSG00000131323;ENSG00000164362;ENSG00000111276;ENSG00000081059;ENSG00000132170;ENSG00000138795;ENSG00000204301;ENSG00000134250;ENSG00000198719;ENSG00000134954
hsa05152,Tuberculosis,http://www.kegg.jp/kegg-bin/show_pathway?hsa05152+2212+3117+3119+3122+3123+3451+3586+3654+3684+3717+4261+818+8844+9103,174,14,3.129496403,4.473563218,2.50E-06,5.79E-05,2212;3117;3119;3122;3123;3451;3586;3654;3684;3717;4261;818;8844;9103,ENSG00000206305;ENSG00000230726;ENSG00000234829;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000141068;ENSG00000184216;ENSG00000179583;ENSG00000096968;ENSG00000169896;ENSG00000227993;ENSG00000136634;ENSG00000148660;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000143226;ENSG00000143226;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05162,Measles,http://www.kegg.jp/kegg-bin/show_pathway?hsa05162+1027+3451+3558+3559+356+3654+3717+64135+6774+7128+7297+9641,129,12,2.320143885,5.172093023,3.01E-06,6.51E-05,1027;3451;3558;3559;356;3654;3717;64135;6774;7128;7297;9641,ENSG00000234829;ENSG00000168610;ENSG00000184216;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000118503;ENSG00000134460;ENSG00000115267;ENSG00000105397;ENSG00000111276;ENSG00000263528
hsa05310,Asthma,http://www.kegg.jp/kegg-bin/show_pathway?hsa05310+3117+3119+3122+3123+3586+958,30,6,0.539568345,11.12,1.26E-05,2.54E-04,3117;3119;3122;3123;3586;958,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000227993;ENSG00000101017;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa04659,Th17 cell differentiation,http://www.kegg.jp/kegg-bin/show_pathway?hsa04659+3117+3119+3122+3123+3558+3559+3717+59067+6774+7297,106,10,1.90647482,5.245283019,1.85E-05,3.42E-04,3117;3119;3122;3123;3558;3559;3717;59067;6774;7297,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000168610;ENSG00000096968;ENSG00000109471;ENSG00000227993;ENSG00000138684;ENSG00000206240;ENSG00000134460;ENSG00000206308;ENSG00000228284;ENSG00000105397;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05322,Systemic lupus erythematosus,http://www.kegg.jp/kegg-bin/show_pathway?hsa05322+2212+3117+3119+3122+3123+3586+717+735+941+942+958,130,11,2.338129496,4.704615385,1.97E-05,3.42E-04,2212;3117;3119;3122;3123;3586;717;735;941;942;958,ENSG00000206305;ENSG00000230726;ENSG00000166278;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000113600;ENSG00000227993;ENSG00000101017;ENSG00000121594;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000143226;ENSG00000114013;ENSG00000232062;ENSG00000231543;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05168,Herpes simplex infection,http://www.kegg.jp/kegg-bin/show_pathway?hsa05168+3117+3119+3122+3123+3451+356+3717+5781+64135+7187+7297+9569+9641,181,13,3.255395683,3.993370166,2.01E-05,3.42E-04,3117;3119;3122;3123;3451;356;3717;5781;64135;7187;7297;9569;9641,ENSG00000206305;ENSG00000230726;ENSG00000234829;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000096968;ENSG00000117560;ENSG00000227993;ENSG00000206240;ENSG00000115267;ENSG00000206308;ENSG00000228284;ENSG00000105397;ENSG00000131323;ENSG00000226260;ENSG00000006704;ENSG00000204287;ENSG00000179295;ENSG00000232062;ENSG00000225890;ENSG00000263528;ENSG00000196735;ENSG00000234794
hsa05169,Epstein-Barr virus infection,http://www.kegg.jp/kegg-bin/show_pathway?hsa05169+1027+3117+3119+3122+3123+3451+3654+6774+7128+7187+7297+958+9641,198,13,3.561151079,3.650505051,5.17E-05,8.37E-04,1027;3117;3119;3122;3123;3451;3654;6774;7128;7187;7297;958;9641,ENSG00000206305;ENSG00000230726;ENSG00000234829;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000168610;ENSG00000184216;ENSG00000227993;ENSG00000101017;ENSG00000206240;ENSG00000118503;ENSG00000206308;ENSG00000228284;ENSG00000105397;ENSG00000131323;ENSG00000111276;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000263528;ENSG00000196735;ENSG00000234794
hsa05416,Viral myocarditis,http://www.kegg.jp/kegg-bin/show_pathway?hsa05416+3117+3119+3122+3123+941+942+958,57,7,1.025179856,6.828070175,6.48E-05,1.00E-03,3117;3119;3122;3123;941;942;958,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000227993;ENSG00000101017;ENSG00000121594;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000114013;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa04060,Cytokine-cytokine receptor interaction,http://www.kegg.jp/kegg-bin/show_pathway?hsa04060+2690+29949+3451+3558+3559+356+3575+3586+3595+59067+6367+7292+8807+9518+958,288,15,5.179856115,2.895833333,1.90E-04,0.002799498,2690;29949;3451;3558;3559;356;3575;3586;3595;59067;6367;7292;8807;9518;958,ENSG00000234829;ENSG00000109471;ENSG00000117560;ENSG00000142224;ENSG00000117586;ENSG00000101017;ENSG00000130513;ENSG00000138684;ENSG00000081985;ENSG00000136634;ENSG00000168685;ENSG00000134460;ENSG00000115607;ENSG00000102962;ENSG00000112964
hsa05164,Influenza A,http://www.kegg.jp/kegg-bin/show_pathway?hsa05164+3117+3119+3122+3123+3451+356+3717+4261+64135+7297+9641,168,11,3.021582734,3.64047619,2.05E-04,0.002887548,3117;3119;3122;3123;3451;356;3717;4261;64135;7297;9641,ENSG00000206305;ENSG00000230726;ENSG00000234829;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000179583;ENSG00000096968;ENSG00000117560;ENSG00000227993;ENSG00000206240;ENSG00000115267;ENSG00000206308;ENSG00000228284;ENSG00000105397;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000263528;ENSG00000196735;ENSG00000234794
hsa04640,Hematopoietic cell lineage,http://www.kegg.jp/kegg-bin/show_pathway?hsa04640+3117+3119+3122+3123+3559+3575+3684+3815,93,8,1.672661871,4.782795699,2.49E-04,0.003366962,3117;3119;3122;3123;3559;3575;3684;3815,ENSG00000206305;ENSG00000230726;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000169896;ENSG00000227993;ENSG00000206240;ENSG00000168685;ENSG00000134460;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05340,Primary immunodeficiency,http://www.kegg.jp/kegg-bin/show_pathway?hsa05340+29851+3575+4261+5788+958,36,5,0.647482014,7.722222222,4.20E-04,0.005441521,29851;3575;4261;5788;958,ENSG00000179583;ENSG00000101017;ENSG00000168685;ENSG00000081237;ENSG00000163600
hsa04620,Toll-like receptor signaling pathway,http://www.kegg.jp/kegg-bin/show_pathway?hsa04620+3451+3654+3663+7187+941+942+958+9641,104,8,1.870503597,4.276923077,5.35E-04,0.006664581,3451;3654;3663;7187;941;942;958;9641,ENSG00000234829;ENSG00000184216;ENSG00000101017;ENSG00000121594;ENSG00000128604;ENSG00000131323;ENSG00000114013;ENSG00000263528
hsa05323,Rheumatoid arthritis,http://www.kegg.jp/kegg-bin/show_pathway?hsa05323+1493+3117+3119+3122+3123+941+942,87,7,1.564748201,4.473563218,9.17E-04,0.010999309,1493;3117;3119;3122;3123;941;942,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000163599;ENSG00000227993;ENSG00000121594;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000114013;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05221,Acute myeloid leukemia,http://www.kegg.jp/kegg-bin/show_pathway?hsa05221+2885+3684+3815+51176+6774+6932,65,6,1.169064748,5.132307692,0.001044802,0.012089851,2885;3684;3815;51176;6774;6932,ENSG00000157404;ENSG00000177885;ENSG00000168610;ENSG00000169896;ENSG00000081059;ENSG00000138795
hsa04145,Phagosome,http://www.kegg.jp/kegg-bin/show_pathway?hsa04145+2212+3117+3119+3122+3123+3684+4688+9103+949,145,9,2.607913669,3.451034483,0.001151757,0.012867909,2212;3117;3119;3122;3123;3684;4688;9103;949,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000169896;ENSG00000227993;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000073060;ENSG00000226260;ENSG00000204287;ENSG00000143226;ENSG00000143226;ENSG00000232062;ENSG00000225890;ENSG00000116701;ENSG00000196735;ENSG00000234794
hsa01522,Endocrine resistance,http://www.kegg.jp/kegg-bin/show_pathway?hsa01522+1027+2064+28514+2885+4853+4855+5469,95,7,1.708633094,4.096842105,0.001539496,0.016626556,1027;2064;28514;2885;4853;4855;5469,ENSG00000141736;ENSG00000177885;ENSG00000125686;ENSG00000111276;ENSG00000204301;ENSG00000134250;ENSG00000198719
hsa04660,T cell receptor signaling pathway,http://www.kegg.jp/kegg-bin/show_pathway?hsa04660+1493+2885+29851+3558+3586+5788+9402,100,7,1.798561151,3.892,0.002071028,0.021645585,1493;2885;29851;3558;3586;5788;9402,ENSG00000177885;ENSG00000109471;ENSG00000163599;ENSG00000136634;ENSG00000081237;ENSG00000163600;ENSG00000100351
hsa05165,Human papillomavirus infection,http://www.kegg.jp/kegg-bin/show_pathway?hsa05165+1027+2885+3451+356+3918+4853+4855+6932+7015+7148+7187+7297+8516+9641,333,14,5.989208633,2.337537538,0.002530284,0.025619122,1027;2885;3451;356;3918;4853;4855;6932;7015;7148;7187;7297;8516;9641,ENSG00000234829;ENSG00000177885;ENSG00000058085;ENSG00000117560;ENSG00000229353;ENSG00000231608;ENSG00000233323;ENSG00000168477;ENSG00000077943;ENSG00000105397;ENSG00000131323;ENSG00000164362;ENSG00000111276;ENSG00000081059;ENSG00000263528;ENSG00000204301;ENSG00000134250;ENSG00000206258
hsa05213,Endometrial cancer,http://www.kegg.jp/kegg-bin/show_pathway?hsa05213+2064+2885+29119+51176+6932,56,5,1.007194245,4.964285714,0.003194107,0.031360319,2064;2885;29119;51176;6932,ENSG00000141736;ENSG00000177885;ENSG00000183230;ENSG00000081059;ENSG00000138795
hsa05161,Hepatitis B,http://www.kegg.jp/kegg-bin/show_pathway?hsa05161+1027+2885+3451+356+64135+6774+6775+9641,141,8,2.535971223,3.154609929,0.003779162,0.036013187,1027;2885;3451;356;64135;6774;6775;9641,ENSG00000138378;ENSG00000234829;ENSG00000177885;ENSG00000168610;ENSG00000117560;ENSG00000115267;ENSG00000111276;ENSG00000263528
hsa04151,PI3K-Akt signaling pathway,http://www.kegg.jp/kegg-bin/show_pathway?hsa04151+1027+2064+2690+2885+3451+3558+3559+356+3575+3717+3815+3918+7148+8516,350,14,6.294964029,2.224,0.003972319,0.036772325,1027;2064;2690;2885;3451;3558;3559;356;3575;3717;3815;3918;7148;8516,ENSG00000141736;ENSG00000234829;ENSG00000157404;ENSG00000177885;ENSG00000096968;ENSG00000109471;ENSG00000058085;ENSG00000117560;ENSG00000229353;ENSG00000231608;ENSG00000233323;ENSG00000168477;ENSG00000168685;ENSG00000077943;ENSG00000134460;ENSG00000111276;ENSG00000206258;ENSG00000112964
hsa05224,Breast cancer,http://www.kegg.jp/kegg-bin/show_pathway?hsa05224+2064+28514+2885+3815+4853+4855+51176+6932,144,8,2.589928058,3.088888889,0.004295154,0.03865639,2064;28514;2885;3815;4853;4855;51176;6932,ENSG00000141736;ENSG00000157404;ENSG00000177885;ENSG00000081059;ENSG00000138795;ENSG00000204301;ENSG00000134250;ENSG00000198719
hsa05202,Transcriptional misregulation in cancer,http://www.kegg.jp/kegg-bin/show_pathway?hsa05202+1027+3684+4299+51513+5328+5468+8013+942+958,177,9,3.183453237,2.827118644,0.004486954,0.039291166,1027;3684;4299;51513;5328;5468;8013;942;958,ENSG00000010030;ENSG00000122861;ENSG00000169896;ENSG00000101017;ENSG00000111276;ENSG00000114013;ENSG00000132170;ENSG00000119508;ENSG00000172493
