ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
213294_at,1.97E-08,1.59E-11,9.478632,16.1210064,1.2306831,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
204747_at,2.13E-08,1.82E-11,9.432709,15.9975858,2.8139333,IFIT3,interferon induced protein with tetratricopeptide repeats 3
213797_at,2.19E-08,1.97E-11,9.404257,15.9209663,2.8982338,RSAD2,radical S-adenosyl methionine domain containing 2
204972_at,2.94E-08,2.77E-11,9.284573,15.5974188,1.584145,OAS2,2'-5'-oligoadenylate synthetase 2
217092_x_at,2.97E-08,2.94E-11,-9.264215,15.5421826,-1.0129918,,
207275_s_at,5.21E-08,5.37E-11,9.053678,14.9675488,1.9548671,ACSL1,acyl-CoA synthetase long-chain family member 1
201251_at,8.89E-08,9.57E-11,8.854524,14.4183421,1.0750582,PKM,"pyruvate kinase, muscle"
214059_at,9.72E-08,1.09E-10,8.809756,14.2941396,2.0662261,IFI44,interferon induced protein 44
211307_s_at,1.23E-07,1.44E-10,8.714748,14.0296649,3.7546649,FCAR,Fc fragment of IgA receptor
203254_s_at,1.67E-07,2.03E-10,8.598211,13.7036146,1.2723235,TLN1,talin 1
208436_s_at,1.89E-07,2.38E-10,8.544029,13.5514124,1.3602597,IRF7,interferon regulatory factor 7
219211_at,2.24E-07,2.91E-10,8.475081,13.3571791,2.5829605,USP18,ubiquitin specific peptidase 18
212657_s_at,2.24E-07,3.09E-10,8.455079,13.3007175,1.4355504,IL1RN,interleukin 1 receptor antagonist
219352_at,2.24E-07,3.11E-10,8.452939,13.2946734,1.4942907,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
200815_s_at,2.82E-07,4.05E-10,8.364168,13.0434438,0.769551,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1
220048_at,3.26E-07,5.00E-10,-8.292664,12.840354,-1.2252006,EDAR,ectodysplasin A receptor
212268_at,3.26E-07,5.11E-10,8.285687,12.820503,1.0341658,SERPINB1,serpin family B member 1
205241_at,3.26E-07,5.12E-10,8.285315,12.8194448,1.4697842,SCO2,SCO2 cytochrome c oxidase assembly protein
216950_s_at,3.89E-07,6.28E-10,8.216598,12.6236059,1.5697243,FCGR1CP///FCGR1B///FCGR1A,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
222279_at,3.96E-07,6.57E-10,-8.201144,12.579484,-1.0431039,HLA-F-AS1,HLA-F antisense RNA 1
214594_x_at,5.30E-07,9.04E-10,-8.094692,12.2747548,-1.7541145,ATP8B1,ATPase phospholipid transporting 8B1
204924_at,6.23E-07,1.09E-09,8.032067,12.0948477,1.5082666,TLR2,toll like receptor 2
202671_s_at,9.11E-07,1.64E-09,7.897859,11.7077437,1.1753455,PDXK,"pyridoxal (pyridoxine, vitamin B6) kinase"
206111_at,1.33E-06,2.49E-09,7.758301,11.3030218,1.6798019,RNASE2,ribonuclease A family member 2
206491_s_at,1.33E-06,2.51E-09,7.756777,11.2985897,0.9109008,NAPA,NSF attachment protein alpha
217995_at,1.34E-06,2.58E-09,7.747225,11.2708087,1.0139671,SQRDL,sulfide quinone reductase-like (yeast)
214041_x_at,1.34E-06,2.64E-09,-7.739352,11.2479034,-1.723812,RPL37A,ribosomal protein L37a
206715_at,1.36E-06,2.76E-09,7.725543,11.2077093,0.9853509,TFEC,transcription factor EC
201642_at,1.38E-06,2.89E-09,7.709795,11.1618463,1.0600308,IFNGR2,interferon gamma receptor 2 (interferon gamma transducer 1)
214370_at,1.38E-06,2.91E-09,-7.708105,11.1569241,-1.914637,S100A8,S100 calcium binding protein A8
209417_s_at,1.49E-06,3.20E-09,7.676002,11.0633431,1.3207027,IFI35,interferon induced protein 35
209993_at,1.63E-06,3.59E-09,-7.638149,10.9528576,-1.0519028,ABCB1,ATP binding cassette subfamily B member 1
217142_at,1.77E-06,3.98E-09,-7.60461,10.8548388,-1.6263261,,
216505_x_at,1.85E-06,4.23E-09,-7.584967,10.7973761,-1.0395488,,
202411_at,1.86E-06,4.38E-09,7.573668,10.764303,4.1816946,IFI27,interferon alpha inducible protein 27
206059_at,1.86E-06,4.46E-09,-7.567166,10.7452668,-1.2397963,ZNF91,zinc finger protein 91
220615_s_at,1.86E-06,4.50E-09,7.564266,10.7367755,1.6882142,FAR2,fatty acyl-CoA reductase 2
204415_at,1.98E-06,4.89E-09,7.537142,10.6573042,1.9841864,IFI6,interferon alpha inducible protein 6
207677_s_at,2.06E-06,5.17E-09,7.519203,10.6047033,1.0913158,NCF4,neutrophil cytosolic factor 4
204743_at,2.06E-06,5.27E-09,-7.512694,10.5856088,-1.2420824,TAGLN3,transgelin 3
219607_s_at,2.22E-06,5.80E-09,7.481587,10.494297,1.6887177,MS4A4A,membrane spanning 4-domains A4A
217313_at,2.22E-06,5.98E-09,-7.47169,10.465228,-0.9843843,,
201315_x_at,2.22E-06,5.98E-09,7.471645,10.4650943,1.1527752,IFITM2,interferon induced transmembrane protein 2
204381_at,2.39E-06,6.53E-09,7.442655,10.3798816,1.1433344,LRP3,LDL receptor related protein 3
205660_at,2.39E-06,6.66E-09,7.436586,10.3620344,1.4460369,OASL,2'-5'-oligoadenylate synthetase like
218695_at,2.59E-06,7.31E-09,7.406078,10.2722513,2.108882,EXOSC4,exosome component 4
216913_s_at,2.83E-06,8.13E-09,7.37143,10.1701784,2.2920917,RRP12,ribosomal RNA processing 12 homolog
212203_x_at,2.91E-06,8.50E-09,7.357013,10.1276711,1.2104114,IFITM3,interferon induced transmembrane protein 3
211071_s_at,2.91E-06,8.61E-09,-7.352788,10.1152124,-0.6883718,MLLT11,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11"
204174_at,3.10E-06,9.33E-09,7.326735,10.0383363,1.0380582,ALOX5AP,arachidonate 5-lipoxygenase activating protein
217019_at,3.20E-06,9.77E-09,-7.311742,9.9940695,-1.3305917,,
219599_at,3.21E-06,9.95E-09,-7.305705,9.9762364,-1.045121,EIF4B,eukaryotic translation initiation factor 4B
221214_s_at,3.97E-06,1.25E-08,-7.232591,9.7600229,-0.9421102,MIR7114///NSMF,microRNA 7114///NMDA receptor synaptonuclear signaling and neuronal migration factor
213293_s_at,4.15E-06,1.32E-08,7.213347,9.703035,0.8579284,TRIM22,tripartite motif containing 22
213958_at,4.37E-06,1.41E-08,-7.192285,9.6406256,-1.048201,CD6,CD6 molecule
217336_at,4.54E-06,1.49E-08,-7.175442,9.5906908,-1.6064241,,
209053_s_at,4.64E-06,1.55E-08,7.160899,9.5475538,2.4176092,WHSC1,Wolf-Hirschhorn syndrome candidate 1
208992_s_at,4.64E-06,1.56E-08,7.159485,9.5433565,0.9588904,STAT3,signal transducer and activator of transcription 3
203876_s_at,5.04E-06,1.74E-08,-7.125007,9.4410138,-2.4767098,MMP11,matrix metallopeptidase 11
202425_x_at,5.04E-06,1.74E-08,-7.124036,9.4381294,-0.9106003,PPP3CA,protein phosphatase 3 catalytic subunit alpha
205863_at,5.06E-06,1.77E-08,7.118737,9.4223918,1.2651771,S100A12,S100 calcium binding protein A12
205934_at,5.12E-06,1.81E-08,-7.11106,9.3995835,-1.1026864,PLCL1,phospholipase C like 1
213509_x_at,5.30E-06,1.90E-08,-7.095415,9.3530935,-0.8285686,CES2,carboxylesterase 2
219817_at,5.37E-06,1.95E-08,-7.087089,9.3283434,-0.9369262,MAPKAPK5-AS1,MAPKAPK5 antisense RNA 1
200950_at,5.56E-06,2.05E-08,7.072091,9.2837458,0.5924477,ARPC1A,actin related protein 2/3 complex subunit 1A
201576_s_at,5.69E-06,2.14E-08,7.057607,9.2406559,0.6946768,TMPPE///GLB1,transmembrane protein with metallophosphoesterase domain///galactosidase beta 1
204050_s_at,5.69E-06,2.15E-08,7.056699,9.2379547,0.9236984,CLTA,clathrin light chain A
200765_x_at,5.75E-06,2.19E-08,7.04969,9.217097,0.8844334,CTNNA1,catenin alpha 1
201344_at,5.88E-06,2.27E-08,-7.038739,9.1845035,-0.7246161,UBE2D2,ubiquitin conjugating enzyme E2 D2
209091_s_at,5.90E-06,2.30E-08,7.033806,9.1698163,0.7023241,SH3GLB1,SH3 domain containing GRB2 like endophilin B1
AFFX-HUMISGF3A/M97935_MA_at,6.02E-06,2.38E-08,7.023737,9.1398335,1.4126351,STAT1,signal transducer and activator of transcription 1
47560_at,6.08E-06,2.45E-08,-7.014225,9.1115025,-1.2703847,ADGRL1,adhesion G protein-coupled receptor L1
214180_at,6.08E-06,2.45E-08,-7.013446,9.1091813,-1.01437,MAN1C1,mannosidase alpha class 1C member 1
202969_at,6.59E-06,2.69E-08,-6.983833,9.0209339,-1.2670356,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
216559_x_at,6.72E-06,2.77E-08,-6.973989,8.9915836,-0.6225692,,
55616_at,6.85E-06,2.86E-08,-6.964389,8.9629524,-0.8065389,PGAP3,post-GPI attachment to proteins 3
218454_at,6.97E-06,2.95E-08,6.954012,8.9319968,1.1239643,PLBD1,phospholipase B domain containing 1
205099_s_at,6.97E-06,2.97E-08,6.951583,8.9247495,1.3476993,CCR1,C-C motif chemokine receptor 1
218559_s_at,6.99E-06,3.01E-08,6.947497,8.9125586,1.4969449,MAFB,MAF bZIP transcription factor B
218865_at,7.15E-06,3.11E-08,6.936855,8.8807985,2.0347583,1-Mar,mitochondrial amidoxime reducing component 1
203535_at,7.96E-06,3.51E-08,6.898068,8.7649702,0.907069,S100A9,S100 calcium binding protein A9
207839_s_at,7.96E-06,3.59E-08,-6.890825,8.7433301,-1.1044561,TMEM8B,transmembrane protein 8B
216041_x_at,7.96E-06,3.61E-08,6.889592,8.7396452,0.9342985,GRN,granulin
220113_x_at,7.96E-06,3.64E-08,-6.886572,8.730622,-0.9695006,POLR1B,RNA polymerase I subunit B
211012_s_at,7.96E-06,3.64E-08,6.886316,8.7298569,1.5750668,PML,promyelocytic leukemia
200661_at,8.01E-06,3.70E-08,6.881006,8.7139868,0.8392343,CTSA,cathepsin A
201786_s_at,8.06E-06,3.76E-08,6.875784,8.698378,0.8536175,ADAR,"adenosine deaminase, RNA specific"
213503_x_at,8.11E-06,3.82E-08,6.870958,8.6839499,0.9077458,ANXA2,annexin A2
221588_x_at,8.26E-06,3.93E-08,-6.862096,8.6574536,-0.9217747,ALDH6A1,aldehyde dehydrogenase 6 family member A1
50376_at,8.30E-06,3.98E-08,-6.857509,8.6437392,-1.0419223,ZNF444,zinc finger protein 444
208751_at,8.52E-06,4.16E-08,6.843283,8.6011887,0.7654044,NAPA,NSF attachment protein alpha
212560_at,8.52E-06,4.17E-08,-6.842876,8.5999697,-0.7940313,SORL1,sortilin related receptor 1
210797_s_at,8.63E-06,4.26E-08,6.835971,8.5793138,1.5111972,OASL,2'-5'-oligoadenylate synthetase like
221948_s_at,8.91E-06,4.44E-08,-6.822709,8.5396278,-1.9426997,KLHL22,kelch like family member 22
218660_at,9.16E-06,4.64E-08,6.808375,8.4967184,1.3876034,DYSF,dysferlin
216348_at,9.16E-06,4.68E-08,-6.805514,8.4881532,-1.6191622,,
203140_at,9.16E-06,4.69E-08,6.805383,8.4877624,0.8746022,BCL6,B-cell CLL/lymphoma 6
210569_s_at,9.59E-06,4.95E-08,6.787782,8.4350519,1.6465996,SIGLEC9,sialic acid binding Ig like lectin 9
216565_x_at,9.99E-06,5.24E-08,6.769644,8.3807155,1.1410468,,
217559_at,9.99E-06,5.25E-08,-6.769006,8.3788031,-1.3801998,RPL10L,ribosomal protein L10 like
221345_at,1.02E-05,5.41E-08,6.759036,8.3489245,2.6952982,FFAR2,free fatty acid receptor 2
217266_at,1.02E-05,5.46E-08,-6.756168,8.340329,-0.9104852,RPL15,ribosomal protein L15
214081_at,1.06E-05,5.72E-08,-6.741257,8.2956289,-1.0998361,PLXDC1,plexin domain containing 1
202968_s_at,1.13E-05,6.15E-08,-6.718087,8.2261439,-0.9763762,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
209930_s_at,1.13E-05,6.21E-08,6.715208,8.2175067,1.3758687,NFE2,"nuclear factor, erythroid 2"
207384_at,1.18E-05,6.54E-08,6.698652,8.1678333,4.4601338,PGLYRP1,peptidoglycan recognition protein 1
210427_x_at,1.20E-05,6.66E-08,6.692398,8.1490627,0.8634075,ANXA2,annexin A2
213361_at,1.23E-05,6.89E-08,6.681968,8.1177575,0.7588805,TDRD7,tudor domain containing 7
207605_x_at,1.25E-05,7.04E-08,-6.674857,8.0964102,-0.967197,ZNF117,zinc finger protein 117
212773_s_at,1.25E-05,7.16E-08,-6.669655,8.0807918,-0.691236,TOMM20,translocase of outer mitochondrial membrane 20
212424_at,1.25E-05,7.21E-08,-6.667362,8.073905,-1.1638329,PDCD11,programmed cell death 11
215399_s_at,1.25E-05,7.25E-08,6.66565,8.0687657,0.6417102,OS9,"OS9, endoplasmic reticulum lectin"
215293_s_at,1.26E-05,7.32E-08,-6.662283,8.0586542,-0.7246021,PGAP2,post-GPI attachment to proteins 2
212313_at,1.26E-05,7.39E-08,-6.659255,8.0495609,-1.0686636,CHMP7,charged multivesicular body protein 7
209395_at,1.29E-05,7.67E-08,6.64755,8.0144063,3.8829126,CHI3L1,chitinase 3 like 1
40850_at,1.42E-05,8.50E-08,6.614708,7.9157218,2.153556,FKBP8,FK506 binding protein 8
210773_s_at,1.54E-05,9.29E-08,6.585969,7.829318,1.603893,FPR2,formyl peptide receptor 2
213285_at,1.54E-05,9.35E-08,-6.584205,7.8240133,-0.9386584,TMEM30B,transmembrane protein 30B
221676_s_at,1.59E-05,9.72E-08,6.571617,7.7861525,1.0958024,CORO1C,coronin 1C
205929_at,1.60E-05,9.86E-08,-6.56699,7.7722338,-1.1044443,GPA33,glycoprotein A33
222297_x_at,1.60E-05,9.90E-08,-6.565907,7.7689749,-1.4023344,RPL18,ribosomal protein L18
54051_at,1.61E-05,1.01E-07,-6.560802,7.753617,-1.1800628,PKNOX1,PBX/knotted 1 homeobox 1
216202_s_at,1.64E-05,1.03E-07,6.553769,7.7324573,1.2514606,SPTLC2,serine palmitoyltransferase long chain base subunit 2
59999_at,1.65E-05,1.04E-07,-6.549713,7.7202517,-0.8088332,HIF1AN,hypoxia inducible factor 1 alpha subunit inhibitor
208754_s_at,1.65E-05,1.05E-07,-6.547392,7.7132682,-0.8747434,NAP1L1,nucleosome assembly protein 1 like 1
202869_at,1.66E-05,1.07E-07,6.542446,7.6983824,1.5113906,OAS1,2'-5'-oligoadenylate synthetase 1
216570_x_at,1.67E-05,1.08E-07,-6.537704,7.6841114,-0.7346178,,
217713_x_at,1.70E-05,1.11E-07,-6.529344,7.6589485,-0.8035548,,
211729_x_at,1.70E-05,1.11E-07,6.528837,7.6574214,1.0468704,BLVRA,biliverdin reductase A
216555_at,1.71E-05,1.14E-07,-6.521188,7.6343967,-0.9606922,PRR14L,proline rich 14 like
214615_at,1.71E-05,1.14E-07,-6.521013,7.6338692,-0.9977145,P2RY10,purinergic receptor P2Y10
202111_at,1.72E-05,1.15E-07,6.517208,7.6224138,1.7717478,SLC4A2,solute carrier family 4 member 2
205819_at,1.72E-05,1.16E-07,6.515638,7.6176873,2.5163105,MARCO,macrophage receptor with collagenous structure
210370_s_at,1.81E-05,1.23E-07,-6.496406,7.5597735,-0.8763821,LY9,lymphocyte antigen 9
201096_s_at,1.81E-05,1.24E-07,6.494962,7.5554245,0.9155999,ARF4,ADP ribosylation factor 4
205098_at,1.82E-05,1.25E-07,6.490619,7.5423436,1.3916235,CCR1,C-C motif chemokine receptor 1
212190_at,1.82E-05,1.26E-07,-6.489731,7.539669,-1.2902155,SERPINE2,serpin family E member 2
204521_at,1.82E-05,1.27E-07,-6.486626,7.5303154,-0.7501552,FAM216A,family with sequence similarity 216 member A
218217_at,1.86E-05,1.30E-07,6.478357,7.5054042,0.8678087,SCPEP1,serine carboxypeptidase 1
216806_at,1.92E-05,1.35E-07,-6.465694,7.4672549,-1.0977161,,
216823_at,1.93E-05,1.37E-07,-6.46317,7.4596491,-1.3771683,SNORD73A///RPS3A,"small nucleolar RNA, C/D box 73A///ribosomal protein S3A"
208903_at,1.94E-05,1.38E-07,-6.458616,7.4459266,-0.7929312,RPS28,ribosomal protein S28
204959_at,1.96E-05,1.41E-07,6.453586,7.4307661,0.7985676,MNDA,myeloid cell nuclear differentiation antigen
204612_at,2.04E-05,1.48E-07,-6.438421,7.3850588,-1.1657077,PKIA,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
207308_at,2.04E-05,1.49E-07,-6.435856,7.3773264,-1.5566802,SLCO1A2,solute carrier organic anion transporter family member 1A2
204351_at,2.04E-05,1.49E-07,6.434357,7.372809,2.8481995,S100P,S100 calcium binding protein P
218543_s_at,2.05E-05,1.51E-07,6.431107,7.3630101,0.7325689,PARP12,poly(ADP-ribose) polymerase family member 12
216547_at,2.10E-05,1.56E-07,-6.421111,7.3328733,-0.7000239,,
202430_s_at,2.11E-05,1.57E-07,6.418953,7.3263668,1.19155,PLSCR1,phospholipid scramblase 1
201630_s_at,2.11E-05,1.58E-07,-6.416044,7.3175966,-0.5363076,ACP1,"acid phosphatase 1, soluble"
210473_s_at,2.14E-05,1.62E-07,-6.409405,7.2975763,-2.0955697,ADGRA3,adhesion G protein-coupled receptor A3
208662_s_at,2.14E-05,1.62E-07,-6.40822,7.2940015,-0.9146117,TTC3P1///TTC3,tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
218128_at,2.14E-05,1.63E-07,-6.405651,7.2862545,-0.9439839,NFYB,nuclear transcription factor Y subunit beta
217017_at,2.19E-05,1.68E-07,-6.396899,7.2598591,-1.6492298,OSBPL10,oxysterol binding protein like 10
201656_at,2.19E-05,1.70E-07,-6.393957,7.2509877,-1.1928815,ITGA6,integrin subunit alpha 6
216673_at,2.19E-05,1.70E-07,-6.392362,7.2461756,-1.3943118,TTTY1B///TTTY1,"testis-specific transcript, Y-linked 1B (non-protein coding)///testis-specific transcript, Y-linked 1 (non-protein coding)"
205839_s_at,2.19E-05,1.71E-07,-6.391829,7.2445663,-1.0029799,TSPOAP1,TSPO associated protein 1
205936_s_at,2.29E-05,1.80E-07,6.374908,7.1935224,1.0231436,HK3,hexokinase 3
216738_at,2.29E-05,1.81E-07,-6.37336,7.1888524,-1.3487514,,
214042_s_at,2.34E-05,1.86E-07,-6.365166,7.1641311,-0.7270733,RPL22,ribosomal protein L22
219356_s_at,2.34E-05,1.87E-07,6.362977,7.1575266,1.1015676,CHMP5,charged multivesicular body protein 5
AFFX-HUMISGF3A/M97935_MB_at,2.37E-05,1.91E-07,6.356749,7.1387334,1.1143318,STAT1,signal transducer and activator of transcription 1
213421_x_at,2.37E-05,1.92E-07,-6.354051,7.1305897,-0.9648539,PRSS3,"protease, serine 3"
217379_at,2.37E-05,1.92E-07,-6.353994,7.1304171,-1.1469225,,
217723_x_at,2.37E-05,1.93E-07,-6.352138,7.1248161,-1.2899296,RPS12,ribosomal protein S12
214621_at,2.39E-05,1.96E-07,-6.347652,7.111279,-2.7445028,GYS2,glycogen synthase 2
205875_s_at,2.44E-05,2.01E-07,6.339461,7.0865564,1.2517694,ATRIP///TREX1,ATR interacting protein///three prime repair exonuclease 1
AFFX-HUMGAPDH/M33197_M_at,2.44E-05,2.02E-07,6.337944,7.0819776,0.7464836,GAPDH,glyceraldehyde-3-phosphate dehydrogenase
203782_s_at,2.64E-05,2.21E-07,-6.309521,6.9961742,-0.7412244,POLRMT,RNA polymerase mitochondrial
211467_s_at,2.64E-05,2.21E-07,-6.309126,6.9949827,-1.9545144,NFIB,nuclear factor I B
204252_at,2.66E-05,2.24E-07,-6.30482,6.981982,-0.5573222,CDK2,cyclin dependent kinase 2
219252_s_at,2.66E-05,2.27E-07,-6.301016,6.9704954,-0.9973053,GEMIN8,gem nuclear organelle associated protein 8
218986_s_at,2.66E-05,2.27E-07,6.300815,6.9698888,1.3582221,DDX60,DEXD/H-box helicase 60
217353_at,2.66E-05,2.28E-07,-6.299554,6.966079,-1.0873604,,
209853_s_at,2.70E-05,2.32E-07,6.293606,6.9481176,0.9469277,PSME3,proteasome activator subunit 3
204714_s_at,2.75E-05,2.38E-07,6.285408,6.9233607,0.9303341,F5,coagulation factor V
221893_s_at,2.80E-05,2.44E-07,-6.277955,6.9008505,-0.8274123,ADCK2,aarF domain containing kinase 2
221155_x_at,2.80E-05,2.45E-07,-6.276763,6.8972522,-1.5056637,,
202897_at,2.89E-05,2.54E-07,6.264852,6.8612724,0.9629306,SIRPA,signal regulatory protein alpha
44040_at,2.94E-05,2.60E-07,-6.258312,6.8415174,-0.8304876,LOC101927826///FBXO41,uncharacterized LOC101927826///F-box protein 41
218482_at,3.02E-05,2.68E-07,6.247693,6.8094361,0.7108968,ENY2,"ENY2, transcription and export complex 2 subunit"
201119_s_at,3.20E-05,2.86E-07,6.227765,6.7492239,0.6616367,COX8A,cytochrome c oxidase subunit 8A
208832_at,3.20E-05,2.87E-07,-6.226602,6.7457106,-0.6386314,ATXN10,ataxin 10
204801_s_at,3.28E-05,2.96E-07,-6.216124,6.7140453,-1.9538366,DHRS12,dehydrogenase/reductase 12
202472_at,3.28E-05,2.98E-07,-6.214924,6.7104189,-0.8610872,MPI,mannose phosphate isomerase
203807_x_at,3.34E-05,3.04E-07,-6.208122,6.6898627,-1.20193,GH1///CSHL1///CSH2///CSH1,growth hormone 1///chorionic somatomammotropin hormone like 1///chorionic somatomammotropin hormone 2///chorionic somatomammotropin hormone 1
214775_at,3.40E-05,3.12E-07,-6.200178,6.6658515,-1.0591855,N4BP3,NEDD4 binding protein 3
217285_at,3.41E-05,3.15E-07,-6.197204,6.6568637,-1.2132395,TSSK2///DGCR14,testis specific serine kinase 2///DiGeorge syndrome critical region gene 14
215680_at,3.41E-05,3.15E-07,-6.196735,6.6554444,-1.5939561,KIAA1654,KIAA1654 protein
201649_at,3.43E-05,3.19E-07,6.193044,6.6442876,0.7330509,UBE2L6,ubiquitin conjugating enzyme E2 L6
212503_s_at,3.43E-05,3.20E-07,-6.191919,6.6408884,-1.1153963,DIP2C,disco interacting protein 2 homolog C
216287_at,3.57E-05,3.35E-07,-6.177041,6.5959128,-0.9766107,,
205033_s_at,3.63E-05,3.43E-07,6.17016,6.5751124,2.6992126,DEFA1B///DEFA3///DEFA1,defensin alpha 1B///defensin alpha 3///defensin alpha 1
204204_at,3.65E-05,3.46E-07,6.166964,6.5654489,1.0765927,SLC31A2,solute carrier family 31 member 2
214875_x_at,3.65E-05,3.48E-07,6.165532,6.5611209,1.147283,APLP2,amyloid beta precursor like protein 2
200660_at,3.68E-05,3.53E-07,6.160386,6.5455618,1.3244666,S100A11,S100 calcium binding protein A11
200836_s_at,3.68E-05,3.55E-07,6.158732,6.5405617,0.8186551,MAP4,microtubule associated protein 4
219308_s_at,3.68E-05,3.56E-07,-6.158315,6.5393001,-1.5555541,AK5,adenylate kinase 5
208926_at,3.68E-05,3.57E-07,6.157277,6.5361608,0.7248773,NEU1,neuraminidase 1 (lysosomal sialidase)
219155_at,3.76E-05,3.66E-07,-6.149232,6.5118369,-0.7881519,PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1"
216383_at,3.78E-05,3.70E-07,-6.145508,6.500577,-1.6152887,,
222229_x_at,3.81E-05,3.74E-07,-6.141789,6.4893316,-0.7434148,,
201590_x_at,3.86E-05,3.81E-07,6.136033,6.4719271,0.820263,ANXA2,annexin A2
204528_s_at,4.07E-05,4.03E-07,-6.118108,6.4177194,-0.9106005,NAP1L1,nucleosome assembly protein 1 like 1
215805_at,4.10E-05,4.09E-07,-6.113447,6.4036231,-2.0657682,,
207283_at,4.10E-05,4.11E-07,-6.112577,6.4009926,-0.9397206,RPL23AP32,ribosomal protein L23a pseudogene 32
201298_s_at,4.14E-05,4.16E-07,6.108128,6.3875347,0.9314369,MOB1A,MOB kinase activator 1A
218667_at,4.14E-05,4.18E-07,-6.10717,6.3846395,-0.5334115,PJA1,praja ring finger ubiquitin ligase 1
213830_at,4.19E-05,4.25E-07,-6.101621,6.3678554,-1.3427377,YME1L1,YME1 like 1 ATPase
203366_at,4.19E-05,4.27E-07,-6.100257,6.3637311,-0.6742038,POLG,"DNA polymerase gamma, catalytic subunit"
213988_s_at,4.30E-05,4.40E-07,6.09053,6.3343077,1.5025134,SAT1,spermidine/spermine N1-acetyltransferase 1
214779_s_at,4.30E-05,4.44E-07,-6.088001,6.3266594,-0.7852467,SGSM3,small G protein signaling modulator 3
201431_s_at,4.30E-05,4.46E-07,-6.08626,6.3213934,-1.864539,DPYSL3,dihydropyrimidinase like 3
217340_at,4.30E-05,4.47E-07,-6.085689,6.3196668,-2.1578648,,
217853_at,4.30E-05,4.48E-07,6.084856,6.3171467,0.9790767,TNS3,tensin 3
202481_at,4.31E-05,4.50E-07,-6.083126,6.3119142,-1.164848,DHRS3,dehydrogenase/reductase 3
201903_at,4.41E-05,4.63E-07,6.074155,6.2847781,0.7997867,UQCRC1,ubiquinol-cytochrome c reductase core protein I
217890_s_at,4.42E-05,4.68E-07,-6.07065,6.2741737,-1.2071254,PARVA,parvin alpha
206440_at,4.42E-05,4.69E-07,6.070528,6.2738056,1.9181257,LIN7A,"lin-7 homolog A, crumbs cell polarity complex component"
211950_at,4.42E-05,4.71E-07,6.069224,6.2698612,0.6664807,UBR4,ubiquitin protein ligase E3 component n-recognin 4
203127_s_at,4.46E-05,4.77E-07,6.064918,6.2568356,1.0106402,SPTLC2,serine palmitoyltransferase long chain base subunit 2
216364_s_at,4.46E-05,4.78E-07,-6.064091,6.2543344,-2.0059058,AFF2,AF4/FMR2 family member 2
204780_s_at,4.56E-05,4.91E-07,6.055686,6.2289052,0.6291736,FAS,Fas cell surface death receptor
