ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
208433_s_at,0.0715935,1.93E-04,-3.9410137,0.60955,-0.57024132,LRP8,LDL receptor related protein 8
220061_at,0.0787652,2.19E-04,3.9035927,0.50046,0.90783137,ACSM5,acyl-CoA synthetase medium-chain family member 5
205660_at,0.0787652,2.19E-04,-3.9031414,0.49915,-0.95801351,OASL,2'-5'-oligoadenylate synthetase like
208805_at,0.0822588,2.33E-04,-3.8855347,0.44804,-0.51599949,KIAA0391///PSMA6,KIAA0391///proteasome subunit alpha 6
212839_s_at,0.0888896,2.55E-04,-3.8578006,0.36782,-0.4650072,TROVE2,TROVE domain family member 2
221827_at,0.1008727,2.94E-04,-3.8153779,0.24579,-0.37619871,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1
220315_at,0.1070037,3.17E-04,-3.7930815,0.18198,-0.79751425,PARP11,poly(ADP-ribose) polymerase family member 11
201532_at,0.1143131,3.48E-04,-3.7644931,0.10051,-0.57002353,PSMA3,proteasome subunit alpha 3
202446_s_at,0.1143131,3.58E-04,-3.7566378,0.07819,-1.27363608,PLSCR1,phospholipid scramblase 1
200814_at,0.1143131,3.60E-04,-3.7548679,0.07317,-0.36221753,PSME1,proteasome activator subunit 1
204279_at,0.1143131,3.62E-04,-3.7525893,0.0667,-0.48208747,PSMB9,proteasome subunit beta 9
208975_s_at,0.1143131,3.64E-04,-3.7511277,0.06255,-0.46057145,KPNB1,karyopherin subunit beta 1
203153_at,0.1170838,3.78E-04,-3.7396413,0.03,-1.93766006,IFIT1,interferon induced protein with tetratricopeptide repeats 1
203964_at,0.1207078,3.95E-04,-3.7262101,-0.00799,-0.59894237,NMI,N-myc and STAT interactor
211696_x_at,0.1223912,4.11E-04,-3.7147264,-0.0404,-1.61331296,HBB,hemoglobin subunit beta
214414_x_at,0.1223912,4.16E-04,-3.7109247,-0.05111,-1.93055547,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
217933_s_at,0.1223912,4.17E-04,-3.7097551,-0.05441,-1.10306783,LAP3,leucine aminopeptidase 3
210728_s_at,0.1224763,4.24E-04,3.7050036,-0.06779,0.60349341,CALCA,calcitonin related polypeptide alpha
200923_at,0.1224763,4.30E-04,-3.700864,-0.07944,-1.15529927,LGALS3BP,galectin 3 binding protein
210036_s_at,0.1224763,4.38E-04,3.694843,-0.09637,0.5767345,KCNH2,potassium voltage-gated channel subfamily H member 2
214508_x_at,0.1224763,4.46E-04,-3.6897422,-0.11069,-0.89963084,CREM,cAMP responsive element modulator
211381_x_at,0.1224763,4.47E-04,3.6886632,-0.11372,0.94560512,SPAG11A///SPAG11B,sperm associated antigen 11A///sperm associated antigen 11B
201037_at,0.1224763,4.56E-04,-3.6831204,-0.12927,-0.7942279,PFKP,"phosphofructokinase, platelet"
209186_at,0.1224763,4.66E-04,-3.6760673,-0.14904,-0.61226353,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
202145_at,0.1224763,4.79E-04,-3.6679895,-0.17165,-1.09482289,LY6E,"lymphocyte antigen 6 complex, locus E"
211699_x_at,0.1224763,4.79E-04,-3.6678395,-0.17207,-1.92735776,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
214022_s_at,0.1224763,4.79E-04,-3.6677776,-0.17224,-1.09685362,IFITM1,interferon induced transmembrane protein 1
202697_at,0.1224763,4.89E-04,-3.6614657,-0.18989,-0.34795185,NUDT21,nudix hydrolase 21
201274_at,0.1224763,4.90E-04,-3.6609453,-0.19134,-0.44600176,PSMA5,proteasome subunit alpha 5
203886_s_at,0.1224763,4.92E-04,3.659264,-0.19604,0.89547536,FBLN2,fibulin 2
213293_s_at,0.1224763,4.95E-04,-3.6578727,-0.19992,-0.50722606,TRIM22,tripartite motif containing 22
200682_s_at,0.127257,5.21E-04,-3.6421045,-0.24388,-0.37732138,UBE2L3,ubiquitin conjugating enzyme E2 L3
206560_s_at,0.127257,5.25E-04,3.6393548,-0.25154,1.1940395,MIA,melanoma inhibitory activity
204657_s_at,0.1303028,5.44E-04,3.6287417,-0.28105,0.7427688,SHB,SH2 domain containing adaptor protein B
205754_at,0.1319605,5.62E-04,3.6183502,-0.30988,0.80781737,F2,"coagulation factor II, thrombin"
210103_s_at,0.1319605,5.63E-04,3.6182792,-0.31008,0.56663673,FOXA2,forkhead box A2
202345_s_at,0.1386682,5.97E-04,-3.5997136,-0.36147,-0.82710431,FABP5,fatty acid binding protein 5
217919_s_at,0.1395886,6.14E-04,-3.5910519,-0.38538,-0.4992108,MRPL42,mitochondrial ribosomal protein L42
219691_at,0.1395886,6.16E-04,-3.5901187,-0.38796,-0.67681943,SAMD9,sterile alpha motif domain containing 9
218817_at,0.1395886,6.20E-04,-3.5881275,-0.39345,-0.73018955,SPCS3,signal peptidase complex subunit 3
210884_s_at,0.1400721,6.34E-04,3.5815196,-0.41166,0.80222531,SPAG11A,sperm associated antigen 11A
202430_s_at,0.1400721,6.61E-04,-3.568216,-0.44826,-1.19862207,PLSCR1,phospholipid scramblase 1
217232_x_at,0.1400721,6.62E-04,-3.5680404,-0.44874,-1.59240191,HBB,hemoglobin subunit beta
212999_x_at,0.1400721,6.65E-04,3.5662307,-0.45371,2.08895039,LOC101060835///HLA-DQB1,"HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1"
204780_s_at,0.1400721,6.66E-04,-3.5659129,-0.45458,-0.75340173,FAS,Fas cell surface death receptor
221379_at,0.1400721,6.72E-04,3.5633503,-0.46162,0.84271965,,
217414_x_at,0.1400721,6.73E-04,-3.5626415,-0.46357,-2.27956174,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
209025_s_at,0.1400721,6.83E-04,-3.557996,-0.47631,-0.59016725,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein
209040_s_at,0.1400721,6.87E-04,-3.5562998,-0.48096,-0.35826705,PSMB8,proteasome subunit beta 8
218193_s_at,0.1400721,6.88E-04,-3.5557767,-0.48239,-0.49327459,GOLT1B,golgi transport 1B
215617_at,0.1400721,6.91E-04,-3.554283,-0.48649,-0.89695609,SPATS2L,spermatogenesis associated serine rich 2 like
219356_s_at,0.1425548,7.15E-04,-3.5438267,-0.51512,-0.68940004,CHMP5,charged multivesicular body protein 5
206332_s_at,0.1425548,7.17E-04,-3.5431744,-0.5169,-0.54250348,IFI16,interferon gamma inducible protein 16
202647_s_at,0.1450043,7.35E-04,-3.5350692,-0.53905,-0.41842648,NRAS,neuroblastoma RAS viral oncogene homolog
214279_s_at,0.1535796,7.90E-04,3.5127299,-0.59992,0.93256582,NDRG2,NDRG family member 2
212085_at,0.1535796,7.93E-04,3.5115614,-0.6031,0.3769937,SLC25A6,solute carrier family 25 member 6
215351_at,0.1577113,8.21E-04,-3.5004952,-0.63315,-1.11950099,RTCA,RNA 3'-terminal phosphate cyclase
208103_s_at,0.1595434,8.38E-04,-3.4941577,-0.65034,-0.79348171,ANP32E,acidic nuclear phosphoprotein 32 family member E
216020_at,0.1645775,8.72E-04,-3.4816803,-0.6841,-1.30119109,IFIH1,interferon induced with helicase C domain 1
217186_at,0.1650402,8.81E-04,3.4781298,-0.6937,0.91290128,ZNF259P1,zinc finger protein 259 pseudogene 1
204601_at,0.1657277,8.97E-04,-3.4726445,-0.70851,-0.56334711,N4BP1,NEDD4 binding protein 1
203401_at,0.1657277,9.00E-04,-3.4715503,-0.71146,-0.43817377,PRPS2,phosphoribosyl pyrophosphate synthetase 2
214273_x_at,0.165933,9.10E-04,3.4681156,-0.72072,0.45340952,NPRL3,"NPR3 like, GATOR1 complex subunit"
212137_at,0.165933,9.16E-04,-3.4659736,-0.7265,-0.33049269,LARP1,La ribonucleoprotein domain family member 1
219684_at,0.1772438,9.87E-04,-3.4423062,-0.79013,-0.78326418,RTP4,receptor transporter protein 4
214675_at,0.1772438,9.94E-04,-3.4399466,-0.79646,-0.76507936,NUP188,nucleoporin 188
203114_at,0.1779032,1.01E-03,-3.4362327,-0.80642,-0.45767842,SSSCA1,Sjogren syndrome/scleroderma autoantigen 1
209715_at,0.1822196,1.04E-03,-3.4260859,-0.83357,-0.75193995,CBX5,chromobox 5
216182_at,0.1826724,1.06E-03,3.4196987,-0.85064,0.62849709,SYNJ2,synaptojanin 2
202779_s_at,0.1826724,1.07E-03,-3.416268,-0.8598,-0.5625267,UBE2S,ubiquitin conjugating enzyme E2 S
220764_at,0.1826724,1.08E-03,-3.4148991,-0.86345,-0.73178257,PPP4R2,protein phosphatase 4 regulatory subunit 2
217081_at,0.1826724,1.08E-03,3.4129621,-0.86862,0.85140557,OR2H2,olfactory receptor family 2 subfamily H member 2
213776_at,0.1826724,1.09E-03,3.4106691,-0.87474,0.94840186,LOC157562,uncharacterized LOC157562
216646_at,0.1826724,1.09E-03,3.4105686,-0.875,0.54345884,DSCC1,DNA replication and sister chromatid cohesion 1
211518_s_at,0.1842737,1.11E-03,3.4053856,-0.88881,0.36897864,BMP4,bone morphogenetic protein 4
215635_at,0.186269,1.13E-03,3.3978314,-0.90891,1.02245612,,
203596_s_at,0.186269,1.14E-03,-3.3972001,-0.91059,-0.66271872,IFIT5,interferon induced protein with tetratricopeptide repeats 5
220638_s_at,0.1984448,1.24E-03,3.369534,-0.98394,0.50644538,CBLC,Cbl proto-oncogene C
205335_s_at,0.1984448,1.24E-03,-3.3687102,-0.98612,-0.31960975,SRP19,signal recognition particle 19
221816_s_at,0.1984448,1.24E-03,-3.3683066,-0.98718,-0.40981999,PHF11,PHD finger protein 11
221387_at,0.1984448,1.25E-03,3.3669532,-0.99076,0.60264456,NPFFR1,neuropeptide FF receptor 1
212048_s_at,0.1984448,1.26E-03,-3.3652797,-0.99518,-0.38345717,YARS,tyrosyl-tRNA synthetase
201923_at,0.2003963,1.28E-03,-3.3598265,-1.00958,-0.54644817,PRDX4,peroxiredoxin 4
217404_s_at,0.2003963,1.30E-03,3.3541492,-1.02455,0.62786572,COL2A1,collagen type II alpha 1 chain
219449_s_at,0.2003963,1.31E-03,-3.3527808,-1.02816,-0.42133729,TMEM70,transmembrane protein 70
205676_at,0.2003963,1.31E-03,-3.3504468,-1.0343,-0.71794181,CYP27B1,cytochrome P450 family 27 subfamily B member 1
218447_at,0.2003963,1.32E-03,-3.3499372,-1.03565,-0.42272449,CMC2,C-X9-C motif containing 2
208142_at,0.2003963,1.32E-03,3.3486883,-1.03893,1.13427912,EDDM3A,epididymal protein 3A
217032_at,0.2039866,1.35E-03,3.3407598,-1.05979,0.89367259,FOXD4L1///FOXD4,forkhead box D4-like 1///forkhead box D4
210990_s_at,0.2147329,1.45E-03,3.3196443,-1.11516,0.45295129,LAMA4,laminin subunit alpha 4
212577_at,0.2147329,1.45E-03,-3.3188053,-1.11735,-0.47404588,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
215015_at,0.2147329,1.46E-03,3.3176226,-1.12045,0.54920431,BICDL1,BICD family like cargo adaptor 1
212826_s_at,0.2171614,1.49E-03,3.3104177,-1.13928,0.36433493,SLC25A6,solute carrier family 25 member 6
211745_x_at,0.2171614,1.49E-03,-3.3096933,-1.14117,-1.47758026,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
204018_x_at,0.2173729,1.50E-03,-3.307258,-1.14753,-1.52089794,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
205657_at,0.2177728,1.51E-03,3.304554,-1.15458,0.66086448,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase"
204205_at,0.2187237,1.53E-03,-3.301042,-1.16374,-0.50832386,APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G
206131_at,0.2196216,1.55E-03,3.2976259,-1.17264,0.76394194,CLPS,colipase
215365_at,0.2255029,1.60E-03,3.2869352,-1.20045,0.5750843,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2
203622_s_at,0.2269059,1.62E-03,-3.2828488,-1.21107,-0.31735933,PNO1,partner of NOB1 homolog
216565_x_at,0.2273405,1.64E-03,-3.2791426,-1.22068,-0.81626384,,
208912_s_at,0.2273405,1.64E-03,-3.2781373,-1.22329,-0.46898234,CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase"
211937_at,0.2273527,1.65E-03,3.2760946,-1.22859,0.4907433,EIF4B,eukaryotic translation initiation factor 4B
221482_s_at,0.232043,1.70E-03,-3.2673943,-1.25112,-0.56288767,ARPP19,cAMP regulated phosphoprotein 19
209129_at,0.2348252,1.73E-03,-3.2614818,-1.26641,-0.47519132,TRIP6,thyroid hormone receptor interactor 6
208653_s_at,0.2350598,1.74E-03,-3.2590963,-1.27258,-0.78526488,CD164,CD164 molecule
211901_s_at,0.2350598,1.75E-03,3.2566857,-1.2788,0.76731939,PDE4A,phosphodiesterase 4A
220862_s_at,0.2350598,1.76E-03,3.2545907,-1.28421,0.49666869,,
209458_x_at,0.2350598,1.77E-03,-3.2532436,-1.28768,-1.43875809,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
217351_at,0.2359968,1.80E-03,3.2484465,-1.30005,0.53713797,,
218578_at,0.2359968,1.80E-03,-3.2480466,-1.30108,-0.84520218,CDC73,cell division cycle 73
220907_at,0.2416088,1.85E-03,3.2383812,-1.32596,0.83415958,ADGRF1,adhesion G protein-coupled receptor F1
206629_at,0.2437442,1.88E-03,3.2335596,-1.33836,0.57614235,ADAMTSL2,ADAMTS like 2
200987_x_at,0.2439634,1.89E-03,-3.2313514,-1.34403,-0.46137613,PSME3,proteasome activator subunit 3
203358_s_at,0.246093,1.92E-03,-3.2265812,-1.35627,-0.82297543,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
202863_at,0.2481429,1.95E-03,-3.2219487,-1.36814,-0.50853661,SP100,SP100 nuclear antigen
202961_s_at,0.2486031,1.96E-03,-3.2194531,-1.37454,-0.35804687,ARMC2-AS1///ATP5J2,"ARMC2 antisense RNA 1///ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2"
220651_s_at,0.2519722,2.00E-03,-3.2131263,-1.39073,-1.35911641,MCM10,minichromosome maintenance 10 replication initiation factor
219835_at,0.2545205,2.03E-03,3.2079285,-1.40401,0.41201896,PRDM8,PR/SET domain 8
220797_at,0.2549183,2.05E-03,-3.2055546,-1.41007,-0.90451176,LOC284009///METTL16,uncharacterized LOC284009///methyltransferase like 16
37079_at,0.2621948,2.12E-03,-3.1941807,-1.43907,-0.6108484,NUS1P3,NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 3
208581_x_at,0.2621948,2.14E-03,-3.1915772,-1.4457,-0.97155206,MT1X,metallothionein 1X
208889_s_at,0.2621948,2.14E-03,3.1906964,-1.44794,0.90005481,NCOR2,nuclear receptor corepressor 2
219867_at,0.2638877,2.17E-03,-3.1855649,-1.46099,-0.70657932,CHODL,chondrolectin
209198_s_at,0.2638877,2.19E-03,-3.183764,-1.46556,-0.47536549,SYT11,synaptotagmin 11
219716_at,0.2638877,2.20E-03,-3.1813663,-1.47165,-0.71655413,APOL6,apolipoprotein L6
204781_s_at,0.2638877,2.21E-03,-3.1795917,-1.47616,-0.57623728,FAS,Fas cell surface death receptor
221598_s_at,0.2638877,2.22E-03,-3.1786803,-1.47847,-0.82936796,MED27,mediator complex subunit 27
206461_x_at,0.2638877,2.23E-03,-3.1777501,-1.48083,-0.92687564,MT1H,metallothionein 1H
203570_at,0.2638877,2.24E-03,3.1759924,-1.48529,0.49771597,LOXL1,lysyl oxidase like 1
201001_s_at,0.266701,2.27E-03,-3.1706962,-1.49871,-0.44621037,TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1,TMEM189-UBE2V1 readthrough///transmembrane protein 189///ubiquitin conjugating enzyme E2 V2///ubiquitin conjugating enzyme E2 V1
218498_s_at,0.2696235,2.32E-03,-3.1643495,-1.51478,-0.47008594,ERO1A,endoplasmic reticulum oxidoreductase 1 alpha
216329_at,0.2696235,2.33E-03,3.1625109,-1.51943,0.78707379,,
215857_at,0.2696235,2.34E-03,3.1618255,-1.52116,0.82639941,NCLN,nicalin
203663_s_at,0.2713018,2.36E-03,-3.1580228,-1.53077,-0.47786462,COX5A,cytochrome c oxidase subunit 5A
216654_at,0.2728354,2.40E-03,3.1532917,-1.54271,0.77370731,TNXB,tenascin XB
214828_s_at,0.2728354,2.40E-03,3.152643,-1.54435,0.96220292,RRP7BP///RRP7A,"ribosomal RNA processing 7 homolog B, pseudogene///ribosomal RNA processing 7 homolog A"
222063_s_at,0.2728354,2.41E-03,3.1510002,-1.54849,1.00047855,CDS1,CDP-diacylglycerol synthase 1
203647_s_at,0.2813768,2.53E-03,-3.1355309,-1.58743,-0.27035271,FDX1,ferredoxin 1
221690_s_at,0.2813768,2.53E-03,-3.1346666,-1.5896,-0.80546109,NLRP2,NLR family pyrin domain containing 2
208536_s_at,0.2813768,2.58E-03,-3.1290098,-1.6038,-0.94520492,BCL2L11,BCL2 like 11
207532_at,0.2813768,2.59E-03,3.1274914,-1.60761,0.50166506,CRYGD,crystallin gamma D
211013_x_at,0.2813768,2.59E-03,-3.127318,-1.60804,-0.99385654,PML,promyelocytic leukemia
203214_x_at,0.2813768,2.60E-03,-3.1259882,-1.61138,-0.69356321,CDK1,cyclin dependent kinase 1
216500_at,0.2813768,2.63E-03,3.122068,-1.6212,0.5338819,,
216336_x_at,0.2813768,2.63E-03,-3.1218745,-1.62169,-0.59143548,MT1E,metallothionein 1E
220724_at,0.2813768,2.63E-03,3.1218735,-1.62169,1.09516122,CWH43,cell wall biogenesis 43 C-terminal homolog
217769_s_at,0.2813768,2.64E-03,-3.1207882,-1.62441,-0.37494392,POMP,proteasome maturation protein
208638_at,0.2813768,2.64E-03,-3.1204486,-1.62526,-0.50794013,PDIA6,protein disulfide isomerase family A member 6
203431_s_at,0.2813768,2.65E-03,3.1189898,-1.62891,0.74633477,ARHGAP32,Rho GTPase activating protein 32
210829_s_at,0.2813768,2.67E-03,3.1173241,-1.63308,0.41486073,SSBP2,single stranded DNA binding protein 2
211159_s_at,0.2813768,2.67E-03,3.1162544,-1.63575,0.33427697,PPP2R5D,protein phosphatase 2 regulatory subunit B'delta
202814_s_at,0.2813768,2.68E-03,-3.1150635,-1.63873,-0.31503958,HEXIM1,hexamethylene bisacetamide inducible 1
211046_at,0.2813768,2.69E-03,3.1143931,-1.64041,0.90989171,KCNH6,potassium voltage-gated channel subfamily H member 6
214730_s_at,0.2819398,2.73E-03,-3.1098972,-1.65164,-0.36477079,GLG1,golgi glycoprotein 1
217073_x_at,0.2819398,2.74E-03,3.1083298,-1.65556,0.79657745,APOA1,apolipoprotein A1
201786_s_at,0.2819398,2.75E-03,-3.107252,-1.65825,-0.38385809,ADAR,"adenosine deaminase, RNA specific"
214859_at,0.2819398,2.75E-03,3.1070472,-1.65876,0.66209501,FSTL4,follistatin like 4
222139_at,0.2819398,2.78E-03,-3.1034418,-1.66775,-0.75167618,ERV3-2,endogenous retrovirus group 3 member 2
201543_s_at,0.2819398,2.78E-03,-3.1028839,-1.66915,-0.46156989,SAR1A,secretion associated Ras related GTPase 1A
208554_at,0.2819398,2.78E-03,3.1027985,-1.66936,0.92123999,POU4F3,POU class 4 homeobox 3
200650_s_at,0.2831771,2.81E-03,-3.0997839,-1.67687,-0.37444524,LDHA,lactate dehydrogenase A
204102_s_at,0.283181,2.82E-03,3.0982517,-1.68069,0.39258079,EEF2,eukaryotic translation elongation factor 2
209231_s_at,0.2841755,2.84E-03,-3.0955439,-1.68743,-0.38148422,DCTN5,dynactin subunit 5
206874_s_at,0.2855035,2.87E-03,3.0924496,-1.69513,0.44936548,SLK,STE20 like kinase
212185_x_at,0.286084,2.90E-03,-3.0891721,-1.70328,-0.81342313,MT2A,metallothionein 2A
200924_s_at,0.286084,2.91E-03,-3.0874828,-1.70748,-0.54980764,SLC3A2,solute carrier family 3 member 2
206283_s_at,0.286084,2.91E-03,3.0872516,-1.70805,0.64585668,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
221361_at,0.2876485,2.94E-03,3.0839103,-1.71635,0.63745432,OMP,olfactory marker protein
218350_s_at,0.2883448,2.98E-03,-3.079389,-1.72757,-0.62803989,GMNN,"geminin, DNA replication inhibitor"
201169_s_at,0.2883448,2.99E-03,-3.0789639,-1.72862,-0.70415315,BHLHE40,basic helix-loop-helix family member e40
