,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
5,202411_at,9.65e-15,1.06e-18,-12.1,32.003844,-4.64,IFI27,interferon alpha inducible protein 27
11,232466_PM_at,7.840000000000001e-15,1.72e-18,-13.2,31.83823,-0.935,CUL4A,cullin 4A
0,214453_s_at,5.2e-14,3.85e-18,15.714974,30.1272201,2.8633588,IFI44,interferon induced protein 44
12,221550_PM_at,1.82e-14,4.33e-18,-12.9,30.9314,-1.2,COX15,"COX15, cytochrome c oxidase assembly homolog"
1,204439_at,5.2e-14,4.67e-18,15.623334,29.957915000000003,4.2078136,IFI44L,interferon induced protein 44 like
13,1562271_PM_x_at,1.87e-14,4.78e-18,-12.9,30.834509999999998,-1.77,ARHGEF7,Rho guanine nucleotide exchange factor 7
14,214124_PM_x_at,3.12e-14,8.559999999999999e-18,-12.7,30.26105,-1.27,FGFR1OP,FGFR1 oncogene partner
16,1568667_PM_s_at,4.37e-14,1.3600000000000002e-17,-12.6,29.80625,-0.938,PLIN5,perilipin 5
15,217545_PM_at,4.37e-14,1.3600000000000002e-17,-12.6,29.808759999999996,-0.879,MYH14,"myosin, heavy chain 14, non-muscle"
17,242490_PM_at,4.41e-14,1.4499999999999998e-17,-12.5,29.74216,-1.69,,
6,205483_s_at,1.3200000000000002e-13,1.6899999999999998e-17,-11.4,29.337852,-2.73,ISG15,ISG15 ubiquitin-like modifier
18,AFFX-CreX-5_at,4.57e-14,1.71e-17,-12.5,29.581640000000004,-0.86,,
19,222394_PM_at,4.57e-14,1.74e-17,12.5,29.561790000000002,1.83,PDCD6IP,programmed cell death 6 interacting protein
20,1552615_PM_at,4.57e-14,1.7600000000000002e-17,-12.5,29.55205,-0.85,ACACB,acetyl-CoA carboxylase beta
22,215177_PM_s_at,4.57e-14,1.92e-17,12.5,29.465770000000003,1.7,ITGA6,integrin subunit alpha 6
21,222319_PM_at,4.57e-14,1.92e-17,-12.5,29.46582,-1.12,,
23,242413_PM_at,8.68e-14,3.81e-17,-12.2,28.79328,-1.66,,
7,232787_at,2.77e-13,4.08e-17,-11.2,28.487226,-0.768,HELZ2,helicase with zinc finger 2
24,204986_PM_s_at,9.99e-14,4.57e-17,12.2,28.613970000000002,1.2,TAOK2,TAO kinase 2
8,242234_at,2.77e-13,4.98e-17,-11.1,28.294560999999998,-2.12,XAF1,XIAP associated factor 1
9,223396_at,2.77e-13,5.18e-17,-11.1,28.256464,-0.746,TMEM60,transmembrane protein 60
10,1562031_at,2.77e-13,5.570000000000001e-17,-11.1,28.186052,-1.08,JAK2,Janus kinase 2
25,1556658_PM_a_at,1.35e-13,6.44e-17,-12.1,28.2755,-2.14,,
11,207574_s_at,3.1300000000000003e-13,6.94e-17,-11.0,27.972921999999997,-0.758,GADD45B,growth arrest and DNA damage inducible beta
12,201183_s_at,3.1300000000000003e-13,7.45e-17,11.0,27.904921,0.958,CHD4,chromodomain helicase DNA binding protein 4
13,209310_s_at,3.19e-13,8.190000000000001e-17,-11.0,27.813638,-0.9940000000000001,CASP4,caspase 4
14,211926_s_at,3.19e-13,8.75e-17,11.0,27.749861,0.841,MYH9,"myosin, heavy chain 9, non-muscle"
26,224852_PM_at,1.88e-13,9.259999999999999e-17,12.0,27.917759999999998,2.04,TTC17,tetratricopeptide repeat domain 17
15,223502_s_at,3.3100000000000005e-13,9.68e-17,-11.0,27.652327000000003,-1.09,TNFSF13B,tumor necrosis factor superfamily member 13b
27,1565804_PM_at,2.3199999999999997e-13,1.21e-16,-11.9,27.65268,-1.51,,
28,1559881_PM_s_at,2.3199999999999997e-13,1.23e-16,11.9,27.63922,1.28,ZNF12,zinc finger protein 12
16,209304_x_at,4.3700000000000006e-13,1.3600000000000002e-16,-10.9,27.325347999999998,-0.63,GADD45B,growth arrest and DNA damage inducible beta
17,207124_s_at,5.2e-13,1.76e-16,10.8,27.07631,0.852,GNB5,G protein subunit beta 5
18,214453_s_at,5.2e-13,1.81e-16,-10.8,27.049402,-3.06,IFI44,interferon induced protein 44
29,1562270_PM_at,3.32e-13,1.82e-16,-11.8,27.250970000000002,-1.54,ARHGEF7,Rho guanine nucleotide exchange factor 7
1,242625_at,5.820000000000001e-12,2.1299999999999999e-16,-18.8499036,24.957497399999998,-3.79474933,RSAD2,radical S-adenosyl methionine domain containing 2
30,232311_PM_at,4.24e-13,2.4e-16,-11.7,26.977459999999997,-1.39,B2M,beta-2-microglobulin
31,1561893_PM_at,4.2799999999999994e-13,2.58e-16,-11.7,26.90902,-2.43,,
32,1564154_PM_at,4.2799999999999994e-13,2.58e-16,-11.7,26.907159999999998,-1.81,,
19,1557370_s_at,7.900000000000001e-13,2.96e-16,10.7,26.571763,0.721,MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase"
20,217769_s_at,7.900000000000001e-13,3.03e-16,-10.7,26.548184999999997,-0.861,POMP,proteasome maturation protein
33,216629_PM_at,5.030000000000001e-13,3.22e-16,11.6,26.69071,1.17,SRRM2,serine/arginine repetitive matrix 2
34,1566208_PM_at,5.030000000000001e-13,3.22e-16,-11.6,26.68988,-1.65,TCEA1,transcription elongation factor A1
2,219519_s_at,2.4e-12,3.23e-16,13.696860000000001,26.1659479,6.1980778,SIGLEC1,sialic acid binding Ig like lectin 1
21,210592_s_at,8.62e-13,3.61e-16,-10.6,26.379843,-0.813,SAT1,spermidine/spermine N1-acetyltransferase 1
22,229860_x_at,8.62e-13,3.63e-16,-10.6,26.376223,-0.581,C4orf48,chromosome 4 open reading frame 48
35,229212_PM_at,6.51e-13,4.29e-16,11.5,26.4079,1.3,,
2,219863_at,8.72e-12,4.79e-16,-18.2134323,24.361361499999997,-2.59814483,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
23,213875_x_at,1.1100000000000001e-12,4.89e-16,10.6,26.087249,0.722,C6orf62,chromosome 6 open reading frame 62
24,205660_at,1.17e-12,5.34e-16,-10.5,26.002044,-2.14,OASL,2'-5'-oligoadenylate synthetase like
36,221691_PM_x_at,7.94e-13,5.37e-16,11.4,26.18552,1.49,NPM1,nucleophosmin
37,1556937_PM_at,9.15e-13,6.43e-16,-11.4,26.0078,-0.8540000000000001,,
38,201886_PM_at,9.15e-13,6.519999999999999e-16,-11.4,25.99393,-1.28,DCAF11,DDB1 and CUL4 associated factor 11
25,204031_s_at,1.4999999999999999e-12,7.1299999999999995e-16,10.5,25.722066,0.424,PCBP2,poly(rC) binding protein 2
39,1555181_PM_a_at,1.03e-12,7.51e-16,-11.3,25.85448,-0.7140000000000001,ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
40,243134_PM_at,1.12e-12,8.46e-16,-11.3,25.73722,-2.05,,
41,214592_PM_s_at,1.12e-12,8.59e-16,11.3,25.721970000000002,1.31,SNAPC5,small nuclear RNA activating complex polypeptide 5
42,235537_PM_at,1.29e-12,1.02e-15,11.2,25.555979999999998,1.73,OCIAD1,OCIA domain containing 1
26,233425_at,2.06e-12,1.03e-15,-10.4,25.369314000000003,-1.74,,
27,211825_s_at,2.06e-12,1.0599999999999999e-15,10.4,25.342413,0.8340000000000001,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
28,221599_at,2.0899999999999998e-12,1.13e-15,-10.4,25.276019,-0.505,AAMDC,adipogenesis associated Mth938 domain containing
30,202869_at,2.0899999999999998e-12,1.18e-15,-10.3,25.231753,-2.33,OAS1,2'-5'-oligoadenylate synthetase 1
29,211994_at,2.0899999999999998e-12,1.18e-15,10.3,25.232338000000002,0.764,WNK1,WNK lysine deficient protein kinase 1
31,243271_at,2.41e-12,1.42e-15,-10.3,25.055243,-1.56,,
43,211944_PM_at,1.83e-12,1.47e-15,11.1,25.19215,1.16,PRRC2C,proline rich coiled-coil 2C
32,205241_at,2.41e-12,1.49e-15,-10.3,25.010357,-1.22,SCO2,SCO2 cytochrome c oxidase assembly protein
33,242625_at,2.41e-12,1.5e-15,-10.3,25.003514000000003,-3.6,RSAD2,radical S-adenosyl methionine domain containing 2
34,33304_at,2.44e-12,1.6399999999999998e-15,-10.3,24.914591,-1.03,ISG20,interferon stimulated exonuclease gene 20
36,215541_s_at,2.44e-12,1.65e-15,10.3,24.908239000000002,0.652,DIAPH1,diaphanous related formin 1
35,214059_at,2.44e-12,1.65e-15,-10.3,24.909314000000002,-2.86,IFI44,interferon induced protein 44
44,240554_PM_at,2.05e-12,1.7100000000000002e-15,-11.1,25.044929999999997,-0.8390000000000001,AKAP8L,A-kinase anchoring protein 8 like
45,212111_PM_at,2.05e-12,1.7300000000000001e-15,-11.1,25.03406,-0.8340000000000001,STX12,syntaxin 12
46,235646_PM_at,2.1e-12,1.8e-15,-11.1,24.99161,-1.47,,
37,202863_at,2.6000000000000002e-12,1.8100000000000002e-15,-10.2,24.821612,-0.882,SP100,SP100 nuclear antigen
47,242804_PM_at,2.23e-12,1.9600000000000003e-15,-11.1,24.9091,-0.7190000000000001,POLN,DNA polymerase nu
38,201357_s_at,2.75e-12,1.9600000000000003e-15,10.2,24.741574,0.637,SF3A1,splicing factor 3a subunit 1
39,206025_s_at,2.8499999999999998e-12,2.08e-15,-10.2,24.684085999999997,-1.86,TNFAIP6,TNF alpha induced protein 6
48,232787_PM_at,2.65e-12,2.37e-15,-11.0,24.71902,-0.58,HELZ2,helicase with zinc finger 2
49,211755_PM_s_at,2.7099999999999996e-12,2.47e-15,11.0,24.678539999999998,0.975,ATP5F1,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1"
40,243465_at,3.2499999999999997e-12,2.48e-15,-10.2,24.516373,-0.978,,
41,201073_s_at,3.2499999999999997e-12,2.5e-15,10.2,24.508657999999997,0.512,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
42,203153_at,3.3e-12,2.59e-15,-10.2,24.473142000000003,-2.92,IFIT1,interferon induced protein with tetratricopeptide repeats 1
43,219684_at,3.33e-12,2.68e-15,-10.1,24.440235,-1.97,RTP4,receptor transporter protein 4
3,202145_at,1.51e-11,2.72e-15,12.793312,24.2246457,2.5668119,LY6E,"lymphocyte antigen 6 complex, locus E"
50,1570314_PM_at,2.8800000000000002e-12,2.77e-15,-11.0,24.56772,-1.06,,
51,211048_PM_s_at,2.8800000000000002e-12,2.7800000000000002e-15,11.0,24.56331,1.91,PDIA4,protein disulfide isomerase family A member 4
52,244804_PM_at,2.8800000000000002e-12,2.79e-15,-11.0,24.56069,-0.6729999999999999,SQSTM1,sequestosome 1
44,209417_s_at,3.46e-12,2.85e-15,-10.1,24.382063,-1.31,IFI35,interferon induced protein 35
53,209477_PM_at,3.02e-12,3.03e-15,-10.9,24.47994,-0.9570000000000001,EMD,emerin
54,227331_PM_at,3.02e-12,3.03e-15,10.9,24.477970000000003,1.37,ZNF740,zinc finger protein 740
45,235508_at,3.6000000000000004e-12,3.0699999999999998e-15,-10.1,24.307785,-0.9840000000000001,PML,promyelocytic leukemia
46,201165_s_at,3.6000000000000004e-12,3.1399999999999997e-15,10.1,24.287069,0.595,PUM1,pumilio RNA binding family member 1
47,204747_at,3.6000000000000004e-12,3.16e-15,-10.1,24.280662,-2.12,IFIT3,interferon induced protein with tetratricopeptide repeats 3
48,238327_at,3.65e-12,3.2700000000000003e-15,-10.1,24.247365,-0.9670000000000001,ODF3B,outer dense fiber of sperm tails 3B
49,212268_at,3.65e-12,3.3299999999999997e-15,-10.1,24.229566000000002,-0.8540000000000001,SERPINB1,serpin family B member 1
3,214453_s_at,4.47e-11,3.67e-15,-16.694152900000002,22.81544261,-2.7282578999999996,IFI44,interferon induced protein 44
55,AFFX-r2-P1-cre-5_at,3.72e-12,3.81e-15,-10.9,24.25273,-0.6709999999999999,,
50,213797_at,4.059999999999999e-12,3.88e-15,-10.1,24.081917999999998,-3.28,RSAD2,radical S-adenosyl methionine domain containing 2
51,214659_x_at,4.059999999999999e-12,3.91e-15,10.1,24.074901,1.03,YLPM1,YLP motif containing 1
52,242109_at,4.059999999999999e-12,3.9299999999999996e-15,-10.1,24.069083,-0.92,,
56,231169_PM_at,3.740000000000001e-12,3.9600000000000004e-15,10.8,24.215329999999998,1.36,,
57,208622_PM_s_at,3.740000000000001e-12,3.99e-15,10.8,24.207910000000002,1.27,EZR,ezrin
58,202209_PM_at,3.740000000000001e-12,4.03e-15,10.8,24.19633,0.9209999999999999,LSM3,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
4,202086_at,4.47e-11,4.09e-15,-16.6174401,22.73247195,-3.0868568,MX1,MX dynamin like GTPase 1
59,232323_PM_s_at,3.76e-12,4.12e-15,10.8,24.174429999999997,1.53,TTC17,tetratricopeptide repeat domain 17
53,208624_s_at,4.1900000000000005e-12,4.14e-15,10.0,24.019077,0.927,EIF4G1,eukaryotic translation initiation factor 4 gamma 1
60,1570439_PM_at,4.3e-12,4.79e-15,-10.8,24.02679,-1.17,,
61,205446_PM_s_at,4.39e-12,4.97e-15,10.8,23.99004,0.812,ATF2,activating transcription factor 2
54,212178_s_at,5.110000000000001e-12,5.14e-15,9.99,23.810451,0.643,POM121C,POM121 transmembrane nucleoporin C
55,237052_x_at,5.12e-12,5.25e-15,9.98,23.79064,0.473,GIGYF2,GRB10 interacting GYF protein 2
56,200857_s_at,5.13e-12,5.35e-15,9.98,23.77215,0.6509999999999999,NCOR1,nuclear receptor corepressor 1
62,1560145_PM_at,4.8e-12,5.5200000000000006e-15,-10.8,23.88626,-1.25,MKLN1,muskelin 1
0,ILMN_2391051,2.4799999999999997e-10,5.6e-15,-10.6833591,23.195469,-1.35,FCGR1B,Fc fragment of IgG receptor Ib
63,215083_PM_at,4.92e-12,5.75e-15,-10.7,23.845779999999998,-1.75,,
64,239772_PM_x_at,4.96e-12,5.89e-15,-10.7,23.82256,-0.675,DHX30,DEAH-box helicase 30
57,225870_s_at,5.72e-12,6.0700000000000004e-15,-9.95,23.648803,-0.614,TRAPPC5,trafficking protein particle complex 5
58,233072_at,6.27e-12,6.7599999999999994e-15,-9.92,23.544657,-1.31,NTNG2,netrin G2
65,232333_PM_at,5.92e-12,7.14e-15,10.7,23.63245,2.25,,
66,218372_PM_at,5.95e-12,7.290000000000001e-15,-10.7,23.61212,-0.6609999999999999,MED9,mediator complex subunit 9
67,241003_PM_at,6.3200000000000005e-12,7.85e-15,-10.6,23.53901,-0.6829999999999999,,
59,219863_at,7.1699999999999995e-12,7.859999999999999e-15,-9.88,23.398281,-2.25,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
68,242374_PM_at,6.34e-12,7.990000000000001e-15,-10.6,23.521079999999998,-1.3,,
60,204439_at,7.33e-12,8.3e-15,-9.87,23.345635,-3.49,IFI44L,interferon induced protein 44 like
69,215760_PM_s_at,6.490000000000001e-12,8.31e-15,-10.6,23.48312,-0.645,SBNO2,strawberry notch homolog 2
61,1569263_at,7.33e-12,8.31e-15,-9.87,23.344467,-1.53,,
62,209305_s_at,7.81e-12,9e-15,-9.85,23.267673000000002,-0.5770000000000001,GADD45B,growth arrest and DNA damage inducible beta
63,213988_s_at,8.08e-12,9.46e-15,-9.84,23.218958999999998,-0.797,SAT1,spermidine/spermine N1-acetyltransferase 1
70,201361_PM_at,7.570000000000001e-12,9.820000000000001e-15,10.6,23.31747,0.604,TMEM109,transmembrane protein 109
71,1561937_PM_x_at,7.81e-12,1.03e-14,-10.6,23.27299,-1.06,,
1,ILMN_2261600,2.4799999999999997e-10,1.05e-14,-10.503537699999999,22.620960999999998,-1.63,FCGR1B,Fc fragment of IgG receptor Ib
64,201999_s_at,9.539999999999999e-12,1.13e-14,-9.79,23.043675,-0.963,DYNLT1,dynein light chain Tctex-type 1
72,202784_PM_s_at,8.880000000000001e-12,1.18e-14,10.5,23.13289,1.0,NNT,nicotinamide nucleotide transhydrogenase
5,222154_s_at,1.12e-10,1.23e-14,-15.845812200000001,21.86969785,-2.61945607,SPATS2L,spermatogenesis associated serine rich 2 like
4,202446_s_at,5.5899999999999996e-11,1.25e-14,12.168275999999999,22.8168266,1.8116689,PLSCR1,phospholipid scramblase 1
65,232375_at,1.0400000000000001e-11,1.26e-14,-9.77,22.939033,-1.25,,
66,217497_at,1.0400000000000001e-11,1.27e-14,-9.77,22.933654999999998,-1.06,TYMP,thymidine phosphorylase
67,227609_at,1.06e-11,1.32e-14,-9.76,22.897953,-2.59,EPSTI1,epithelial stromal interaction 1 (breast)
68,202446_s_at,1.07e-11,1.35e-14,-9.75,22.875272,-1.55,PLSCR1,phospholipid scramblase 1
6,205483_s_at,1.12e-10,1.44e-14,-15.738721900000002,21.74578499,-3.04060556,ISG15,ISG15 ubiquitin-like modifier
73,221915_PM_s_at,1.0900000000000001e-11,1.47e-14,10.5,22.9162,1.75,RANBP1,RAN binding protein 1
69,229450_at,1.16e-11,1.49e-14,-9.73,22.778307,-2.0,IFIT3,interferon induced protein with tetratricopeptide repeats 3
74,200014_PM_s_at,1.1099999999999999e-11,1.53e-14,-10.5,22.876820000000002,-0.645,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2)
75,243318_PM_at,1.1099999999999999e-11,1.54e-14,-10.5,22.87605,-1.15,DCAF8,DDB1 and CUL4 associated factor 8
76,203227_PM_s_at,1.1399999999999999e-11,1.61e-14,-10.4,22.83171,-0.988,TSPAN31,tetraspanin 31
71,211505_s_at,1.26e-11,1.66e-14,9.7,22.673146,0.531,STAU1,staufen double-stranded RNA binding protein 1
70,208436_s_at,1.26e-11,1.66e-14,-9.7,22.676844,-1.48,IRF7,interferon regulatory factor 7
77,211846_PM_s_at,1.18e-11,1.68e-14,-10.4,22.7867,-0.741,NECTIN1,nectin cell adhesion molecule 1
72,218408_at,1.26e-11,1.69e-14,-9.7,22.658766,-0.7020000000000001,TIMM10,translocase of inner mitochondrial membrane 10 homolog (yeast)
73,208087_s_at,1.2699999999999999e-11,1.72e-14,-9.69,22.639435,-1.34,ZBP1,Z-DNA binding protein 1
74,1554260_a_at,1.2900000000000002e-11,1.77e-14,9.69,22.613617,0.5710000000000001,FRYL,FRY like transcription coactivator
7,213294_at,1.2200000000000002e-10,1.78e-14,-15.5916203,21.57386541,-2.12049243,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
75,200868_s_at,1.31e-11,1.82e-14,-9.68,22.583882,-0.617,RNF114,ring finger protein 114
78,200692_PM_s_at,1.26e-11,1.82e-14,10.4,22.70634,1.24,HSPA9,heat shock protein family A (Hsp70) member 9
79,221563_PM_at,1.2900000000000002e-11,1.9e-14,10.4,22.6674,0.965,DUSP10,dual specificity phosphatase 10
80,223640_PM_at,1.2900000000000002e-11,1.92e-14,10.4,22.6546,1.11,HCST,hematopoietic cell signal transducer
81,208742_PM_s_at,1.2900000000000002e-11,1.94e-14,10.4,22.64795,0.9990000000000001,SAP18,Sin3A associated protein 18
76,238612_at,1.4199999999999998e-11,1.99e-14,9.66,22.496935999999998,0.568,BRD4,bromodomain containing 4
82,AFFX-CreX-3_at,1.31e-11,1.99e-14,-10.4,22.61936,-0.6659999999999999,,
2,ILMN_2176063,3.2000000000000003e-10,2.03e-14,-10.316218899999999,22.017639000000003,-1.59,FCGR1A,Fc fragment of IgG receptor Ia
83,224576_PM_at,1.34e-11,2.08e-14,-10.4,22.57731,-1.14,ERGIC1,endoplasmic reticulum-golgi intermediate compartment 1
84,229353_PM_s_at,1.34e-11,2.09e-14,10.4,22.56961,1.67,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1
85,243111_PM_at,1.34e-11,2.1e-14,-10.4,22.56486,-1.87,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1
86,213303_PM_x_at,1.34e-11,2.14e-14,10.4,22.55038,1.17,ZBTB7A,zinc finger and BTB domain containing 7A
87,242335_PM_at,1.34e-11,2.15e-14,-10.4,22.543789999999998,-0.7959999999999999,SLC25A37,solute carrier family 25 member 37
77,203094_at,1.54e-11,2.19e-14,-9.63,22.404851,-0.636,MAD2L1BP,MAD2L1 binding protein
88,228746_PM_s_at,1.3699999999999999e-11,2.23e-14,10.3,22.507929999999998,1.36,CDV3,CDV3 homolog
78,227066_at,1.63e-11,2.35e-14,-9.62,22.336021,-0.6629999999999999,MOB3C,MOB kinase activator 3C
89,200082_PM_s_at,1.4499999999999998e-11,2.39e-14,10.3,22.44055,0.955,RPS7,ribosomal protein S7
90,207585_PM_s_at,1.48e-11,2.46e-14,10.3,22.41102,0.767,RPL36AL,ribosomal protein L36a like
79,204415_at,1.6899999999999998e-11,2.48e-14,-9.6,22.285416,-2.2,IFI6,interferon alpha inducible protein 6
91,200645_PM_at,1.48e-11,2.49e-14,-10.3,22.39932,-0.45799999999999996,GABARAP,GABA type A receptor-associated protein
92,238517_PM_at,1.49e-11,2.54e-14,10.3,22.3797,2.19,KLF7,Kruppel like factor 7
93,1566986_PM_at,1.63e-11,2.8e-14,-10.3,22.28279,-0.7879999999999999,,
94,202675_PM_at,1.68e-11,2.92e-14,10.3,22.240489999999998,0.8079999999999999,SDHB,succinate dehydrogenase complex iron sulfur subunit B
80,203234_at,2.03e-11,3.01e-14,-9.56,22.097127,-0.8640000000000001,UPP1,uridine phosphorylase 1
81,205552_s_at,2.0699999999999997e-11,3.1e-14,-9.55,22.068329000000002,-2.25,OAS1,2'-5'-oligoadenylate synthetase 1
82,225852_at,2.1100000000000003e-11,3.21e-14,9.54,22.036426000000002,0.672,ANKRD17,ankyrin repeat domain 17
3,ILMN_1701114,3.9899999999999997e-10,3.37e-14,-10.1719396,21.549614000000002,-1.45,GBP1,guanylate binding protein 1
83,213360_s_at,2.2199999999999998e-11,3.4e-14,9.53,21.978286999999998,0.5329999999999999,POM121C///POM121,POM121 transmembrane nucleoporin C///POM121 transmembrane nucleoporin
95,201967_PM_at,1.98e-11,3.47e-14,10.2,22.06982,1.21,RBM6,RNA binding motif protein 6
84,232225_at,2.31e-11,3.6e-14,-9.52,21.924623999999998,-0.7440000000000001,,
85,239979_at,2.3700000000000003e-11,3.73e-14,-9.51,21.890687,-2.52,,
5,202086_at,1.3899999999999999e-10,3.74e-14,11.733506,21.8052784,2.4379307999999997,MX1,MX dynamin like GTPase 1
86,201641_at,2.3999999999999998e-11,3.81e-14,-9.5,21.868488,-1.03,BST2,bone marrow stromal cell antigen 2
96,222029_PM_x_at,2.2199999999999998e-11,3.93e-14,10.2,21.94833,0.765,PFDN6,prefoldin subunit 6
87,210524_x_at,2.46e-11,3.96e-14,-9.49,21.832911,-0.5760000000000001,,
97,221068_PM_at,2.2199999999999998e-11,3.98e-14,-10.2,21.9366,-0.919,KANK2,KN motif and ankyrin repeat domains 2
98,235435_PM_at,2.26e-11,4.08e-14,10.2,21.91082,1.61,AASDH,aminoadipate-semialdehyde dehydrogenase
99,226319_PM_s_at,2.32e-11,4.25e-14,10.2,21.8715,2.01,ALYREF,Aly/REF export factor
100,203752_PM_s_at,2.34e-11,4.33e-14,-10.2,21.8532,-0.7020000000000001,JUND,"JunD proto-oncogene, AP-1 transcription factor subunit"
88,202349_at,2.6899999999999996e-11,4.38e-14,-9.47,21.733789,-0.61,TOR1A,torsin family 1 member A
89,210797_s_at,2.7e-11,4.44e-14,-9.46,21.721207,-1.56,OASL,2'-5'-oligoadenylate synthetase like
101,211313_PM_s_at,2.62e-11,5.04e-14,10.1,21.70168,1.33,BAZ1B,bromodomain adjacent to zinc finger domain 1B
102,AFFX-DapX-M_at,2.62e-11,5.15e-14,10.1,21.68153,7.46,,
103,AFFX-r2-Bs-dap-3_at,2.62e-11,5.15e-14,10.1,21.68054,7.86,,
104,AFFX-r2-Bs-dap-M_at,2.62e-11,5.2e-14,10.1,21.67246,6.99,,
105,1558906_PM_a_at,2.62e-11,5.21e-14,-10.1,21.669220000000003,-1.3,OSER1-AS1,OSER1 antisense RNA 1 (head to head)
106,AFFX-DapX-3_at,2.62e-11,5.22e-14,10.1,21.6673,8.09,,
107,AFFX-r2-Bs-dap-5_at,2.62e-11,5.32e-14,10.1,21.648979999999998,6.7,,
108,238560_PM_at,2.62e-11,5.34e-14,10.1,21.64546,1.09,CALCOCO2,calcium binding and coiled-coil domain 2
109,AFFX-r2-Bs-lys-M_at,2.62e-11,5.43e-14,10.1,21.62912,6.72,,
110,AFFX-ThrX-M_at,2.62e-11,5.43e-14,10.1,21.62792,5.74,,
111,AFFX-LysX-3_at,2.62e-11,5.44e-14,10.1,21.62716,6.13,,
112,AFFX-r2-Bs-thr-M_s_at,2.62e-11,5.46e-14,10.1,21.623620000000003,6.31,,
113,AFFX-DapX-5_at,2.62e-11,5.51e-14,10.1,21.614079999999998,6.3,,
114,AFFX-r2-Bs-thr-3_s_at,2.62e-11,5.64e-14,10.1,21.59066,6.79,,
115,AFFX-r2-Bs-phe-M_at,2.62e-11,5.73e-14,10.1,21.57495,4.79,,
90,232909_s_at,3.45e-11,5.75e-14,9.4,21.470487,0.603,BPTF,bromodomain PHD finger transcription factor
116,AFFX-PheX-M_at,2.62e-11,5.76e-14,10.1,21.57072,4.83,,
117,206903_PM_at,2.62e-11,5.78e-14,-10.1,21.56644,-0.792,EXOG,"endo/exonuclease (5'-3'), endonuclease G-like"
118,AFFX-ThrX-5_at,2.62e-11,5.82e-14,10.1,21.55969,4.95,,
119,AFFX-r2-Bs-thr-5_s_at,2.62e-11,5.84e-14,10.1,21.55661,5.21,,
120,AFFX-LysX-M_at,2.62e-11,5.86e-14,10.1,21.55366,5.79,,
121,AFFX-r2-Bs-phe-5_at,2.62e-11,6.01e-14,10.1,21.52865,4.91,,
122,AFFX-r2-Bs-phe-3_at,2.62e-11,6.01e-14,10.1,21.52863,6.71,,
123,AFFX-PheX-5_at,2.62e-11,6.03e-14,10.1,21.52575,4.56,,
